evidence_id,title,evidence_role,source_file_count,source_files,removal_reason,removal_scope
NCT:NCT01433120,Targeting the Gut Microbiome to Investigate the Pathways of Progression From Obesity to Metabolic Diseases in an At-risk Population.,trial_registry,1,NCT01433120.csv,no obtainable primary efficacy result for this supplement pass,download supplement package only
NCT:NCT04962633,Dietary Intervention With Probiotic Pasta and Evaluation of the Effects on Metabolic and Inflammatory Status,trial_registry,1,NCT04962633.csv,no obtainable primary efficacy result for this supplement pass,download supplement package only
NCT:NCT05114018,Effect of Pasteurized Akkermansia Muciniphila on Insulin Resistance in Otherwise Healthy Subjects With Dysglycaemia,trial_registry,1,NCT05114018.csv,no obtainable primary efficacy result for this supplement pass,download supplement package only
NCT:NCT06989177,Probiotic Intervention on Body Weight,trial_registry,2,NCT06989177 (1).csv; NCT06989177.csv,no obtainable primary efficacy result for this supplement pass,download supplement package only
PMID:32521799,The Effect of Probiotics and Synbiotics on Risk Factors Associated with Cardiometabolic Diseases in Healthy People-A Systematic Review and Meta-Analysis with Meta-Regression of Randomized Controlled Trials.,secondary_evidence,2,jcm-09-01788-v2 (1).pdf; jcm-09-01788-v2.pdf,no obtainable primary efficacy result for this supplement pass,download supplement package only
PMID:39340527,"Effects of probiotics, prebiotics, and synbiotics on cardiometabolic risk factors in children and adolescents with overweight or obesity: a systematic review and Bayesian network meta-analysis.",secondary_evidence,1,Effects of probiotics  prebiotics  and synbiotics on cardiometabolic risk factors in children and adolescents with overweight or obesity  a systematic.pdf,no obtainable primary efficacy result for this supplement pass,download supplement package only
PMID:40814108,Postbiotics as a novel intervention for obesity management and improving metabolic parameters: a systematic review and meta-analysis of animal studies.,secondary_evidence,1,s12967-025-06927-z.pdf,no obtainable primary efficacy result for this supplement pass,download supplement package only
PMID:40951500,Probiotic Lactobacillus sp. as a strategy for modulation of non-comorbid obesity: A systematic meta-analysis and GRADE assessment of randomized controlled trials.,secondary_evidence,2,fulltextRepo.pdf; NarraJ-5-e1562.pdf,no obtainable primary efficacy result for this supplement pass,download supplement package only
