study_id,subject_id,source_database,source_accession,source_url,publication_doi,publication_pmid,intervention_type,probiotic_species,probiotic_strain,number_of_strains,total_CFU_per_day,log10_CFU_per_day,strain_specific_CFU,prebiotic_type,prebiotic_dose_g_day,duration_weeks,dosage_form,placebo_type
PMID:36606510,needs_manual_extraction,PubMed,36606510,https://pubmed.ncbi.nlm.nih.gov/36606510/,10.1002/edm2.402,36606510,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:37580231,needs_manual_extraction,PubMed,37580231,https://pubmed.ncbi.nlm.nih.gov/37580231/,10.1016/j.numecd.2023.07.030,37580231,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:37424169,needs_manual_extraction,PubMed,37424169,https://pubmed.ncbi.nlm.nih.gov/37424169/,10.1002/oby.23801,37424169,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:36352899,needs_manual_extraction,PubMed,36352899,https://pubmed.ncbi.nlm.nih.gov/36352899/,10.3389/fnut.2022.1007506,36352899,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:34434546,needs_manual_extraction,PubMed,34434546,https://pubmed.ncbi.nlm.nih.gov/34434546/,10.1016/j.amsu.2021.102548,34434546,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT04611477,needs_manual_extraction,ClinicalTrials.gov,NCT04611477,https://clinicaltrials.gov/study/NCT04611477,,,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT04642482,needs_manual_extraction,ClinicalTrials.gov,NCT04642482,https://clinicaltrials.gov/study/NCT04642482,,,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:30525950,needs_manual_extraction,PubMed,30525950,https://pubmed.ncbi.nlm.nih.gov/30525950/,10.3920/BM2018.0028,30525950,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT02893943,needs_manual_extraction,ClinicalTrials.gov,NCT02893943,https://clinicaltrials.gov/study/NCT02893943,,,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT05423015,needs_manual_extraction,ClinicalTrials.gov,NCT05423015,https://clinicaltrials.gov/study/NCT05423015,,,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
