evidence_id,source_database,source_accession,title,intervention_component,suggested_intervention,suggested_duration,suggested_cfu,suggested_dose,final_species,final_strain,final_total_CFU_per_day,final_log10_CFU_per_day,final_prebiotic_type,final_prebiotic_dose_g_day,final_duration_weeks,final_dosage_form,reviewer,review_status,reviewer_note
PMID:40066582,PubMed,40066582,"Effects of probiotic supplementation on blood lipids ın hypercholesterolemic obese patients: a randomized, double-blind, placebo-controlled pilot trial.",primary_intervention,,8 weeks; 8-week,1.5 x 10^9 CFU,31.00 mg,,,,,,,,,auto_prefill,pending,
PMID:39842252,PubMed,39842252,"Effect of caloric restriction with probiotic supplementation on body composition, quality of life, and psychobiological factors of obese men: A randomized, double-blinded placebo-controlled clinical trial.",primary_intervention,,12 weeks,,1 g,,,,,,,,,auto_prefill,pending,
PMID:39981988,PubMed,39981988,"Nutraceutical Blends Promote Weight Loss, Inflammation Reduction, and Better Sleep: The Role of Faecalibacterium prausnitzii in Overweight Adults-A Double-Blind Trial.",primary_intervention,,90 days,,,,,,,,,,,auto_prefill,pending,
PMID:40902730,PubMed,40902730,Can Probiotics Influence Adaptive Thermogenesis Induced by Continuous Energy Restriction after a 12-Week Intervention in Adult Males Living with Obesity? A Secondary Analysis of a Randomized Clinical Trial (São Paulo Clinical Study of Obesity and Intestinal Microbiota).,primary_intervention,,12-Week,,,,,,,,,,,auto_prefill,pending,
NCT:NCT06710106,ClinicalTrials.gov,NCT06710106,Effect of a Low-calorie Diet With a Prebiotic Supplement on Health of Overweight-obese Subjects.,primary_intervention,Prebiotic + hypocaloric diet; Placebo + hypocaloric diet,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT06305650,ClinicalTrials.gov,NCT06305650,Probiotic Influence on Obesity-Related Lipidemia,primary_intervention,Probiotic,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT05949255,ClinicalTrials.gov,NCT05949255,Probiotics and Insulin Resistance in Obese Asthmatics,primary_intervention,Probiotic; Placebo,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT06213480,ClinicalTrials.gov,NCT06213480,Next-Generation Synbiotic in Individuals With Overweight or Obesity,primary_intervention,Synbiotic Group; Placebo Group,,,,,,,,,,,,auto_prefill,pending,
PMID:38999802,PubMed,38999802,"Preoperative Multistrain Probiotic Supplementation Does Not Affect Body Weight Changes or Cardiometabolic Risk Factors in Bariatrics: Randomized, Double-Blind, Placebo-Controlled Clinical Trial.",primary_intervention,,12-week; 6 months,,,,,,,,,,,auto_prefill,pending,
PMID:39594072,PubMed,39594072,Modulation of Serum Metabolic Profiles by,primary_intervention,,,,,,,,,,,,,auto_prefill,pending,
PMID:39574069,PubMed,39574069,Strategic interventions in clinical randomized trials for metabolic dysfunction-associated steatotic liver disease (MASLD) and obesity in the pediatric population: a systematic review with meta-analysis and bibliometric analysis.,primary_intervention,,3 months,,,,,,,,,,,auto_prefill,pending,
PMID:39117856,PubMed,39117856,"Effects of Probiotic Supplementation Added to a Weight Loss Program on Anthropometric Measures, Body Composition, Eating Behavior, and Related Hormone Levels in Patients with Food Addiction and Weight Regain After Bariatric Surgery: A Randomized Clinical Trial.",primary_intervention,,12 weeks,,,,,,,,,,,auto_prefill,pending,
PMID:39298907,PubMed,39298907,"The effect of microbiome-modulating therapeutics on glucose homeostasis in metabolic syndrome: A systematic review, meta-analysis, and meta-regression of clinical trials.",primary_intervention,,,,4.03 mg,,,,,,,,,auto_prefill,pending,
NCT:NCT06030999,ClinicalTrials.gov,NCT06030999,The Prevention And Treatment On Obesity And Weight Management By Oral Supplementation Of Probiotics And Prebiotics,primary_intervention,Study product A (Wonderlab wonder4shape); Study product B (Wonderlab wonder4shape); Study product C (placebo),,,,,,,,,,,,auto_prefill,pending,
NCT:NCT07492485,ClinicalTrials.gov,NCT07492485,Precision Nutrition Recommendations Generated by Metataxonomic Microbiome Testing Improve Food Group Choices and Intestinal Health Indicators in an Obese Population in Colombia,primary_intervention,Personalized dietary recommendations,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT07448220,ClinicalTrials.gov,NCT07448220,Study on the Efficacy of Probiotics in the Treatment of Childhood Obesity and Their Effects on Gut Microbiota,primary_intervention,Probiotic; Placebo,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT06035718,ClinicalTrials.gov,NCT06035718,Effect of Transcranial Direct Current Stimulation (tDCS) and Probiotic Supplementation in Overweight Adults,primary_intervention,Probiotic Blend Capsule; tDCS; Sham tDCS,,,,,,,,,,,,auto_prefill,pending,
PMID:37929031,PubMed,37929031,Ameliorating effects of L-carnitine and synbiotic co-supplementation on anthropometric measures and cardiometabolic traits in women with obesity: a randomized controlled clinical trial.,primary_intervention,,8 weeks,,500 mg/day; 1 capsule/day,,,,,,,,,auto_prefill,pending,
PMID:37875559,PubMed,37875559,"Evaluating probiotic efficacy on weight loss in adults with overweight through a double-blind, placebo-controlled randomized trial.",primary_intervention,,3-month; 3 months; 90 days,,,,,,,,,,,auto_prefill,pending,
PMID:37239916,PubMed,37239916,"Potential Modulation of Inflammation and Physical Function by Combined Probiotics, Omega-3 Supplementation and Vitamin D Supplementation in Overweight/Obese Patients with Chronic Low-Grade Inflammation: A Randomized, Placebo-Controlled Trial.",primary_intervention,,8 weeks,,10 mg; 640 mg,,,,,,,,,auto_prefill,pending,
NCT:NCT05002153,ClinicalTrials.gov,NCT05002153,The Role of Microbiome in Recurrent Obesity,primary_intervention,Fecal microbiota transplantation (FMT); Placebo,,,,,,,,,,,,auto_prefill,pending,
PMID:35845797,PubMed,35845797,"Effects of Multispecies Synbiotic Supplementation on Anthropometric Measurements, Glucose and Lipid Parameters in Children With Exogenous Obesity: A Randomized, Double Blind, Placebo-Controlled Clinical Trial (Probesity-2 Trial).",primary_intervention,,12 weeks,,,,,,,,,,,auto_prefill,pending,
PMID:35264213,PubMed,35264213,The effects of the Green-Mediterranean diet on cardiometabolic health are linked to gut microbiome modifications: a randomized controlled trial.,primary_intervention,,,,28g/day,,,,,,,,,auto_prefill,pending,
PMID:35807808,PubMed,35807808,Prolonged Isolated Soluble Dietary Fibre Supplementation in Overweight and Obese Patients: A Systematic Review with Meta-Analysis of Randomised Controlled Trials.,primary_intervention,,12 weeks,,,,,,,,,,,auto_prefill,pending,
NCT:NCT05459909,ClinicalTrials.gov,NCT05459909,The Effect of Synbiotic and Diet Modification Among Overweight or Obese Hong Kong Chinese,primary_intervention,Synbiotic supplementation; Dietary intervention,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT05664321,ClinicalTrials.gov,NCT05664321,Influence of Adiposity and Other Factors on the Gut Microbiota Composition,primary_intervention,"Observational, case-control study",,,,,,,,,,,,auto_prefill,pending,
PMID:31780038,PubMed,31780038,Clinical and psychological responses to synbiotic supplementation in obese or overweight adults: A randomized clinical trial.,primary_intervention,,8 weeks,,500 mg,,,,,,,,,auto_prefill,pending,
PMID:31162597,PubMed,31162597,Glucose- and Lipid-Related Biomarkers Are Affected in Healthy Obese or Hyperglycemic Adults Consuming a Whole-Grain Pasta Enriched in Prebiotics and Probiotics: A 12-Week Randomized Controlled Trial.,primary_intervention,,12-Week,,100 mg,,,,,,,,,auto_prefill,pending,
PMID:30924853,PubMed,30924853,Effects of oral supplementation with probiotics or synbiotics in overweight and obese adults: a systematic review and meta-analyses of randomized trials.,primary_intervention,,,,,,,,,,,,,auto_prefill,pending,
