subject_id,study_id,source_database,source_accession,source_url,publication_doi,publication_pmid,baseline_weight,post_weight,weight_change,weight_change_percent,baseline_BMI,post_BMI,BMI_change,waist_change,body_fat_change,TG_change,TC_change,LDL_change,HDL_change,FBG_change,FINS_change,HOMA_IR_change,inflammatory_marker_change,responder_label
needs_manual_extraction,EUROPEPMC:40416368,PubMed,40416368,https://europepmc.org/article/MED/40416368,10.3389/fnut.2025.1542145,40416368,,,needs_manual_extraction,,,,,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:41659802,PubMed,41659802,https://pubmed.ncbi.nlm.nih.gov/41659802/,10.3389/fnut.2025.1686416,41659802,,,needs_manual_extraction,,,,,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:40598275,PubMed,40598275,https://pubmed.ncbi.nlm.nih.gov/40598275/,10.1186/s12916-025-04189-6,40598275,,,needs_manual_extraction,,,,,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:40451504,PubMed,40451504,https://pubmed.ncbi.nlm.nih.gov/40451504/,10.1016/j.clnesp.2025.05.045,40451504,,,needs_manual_extraction,,,,,,needs_manual_extraction,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:40375569,PubMed,40375569,https://pubmed.ncbi.nlm.nih.gov/40375569/,10.1017/S0007114525000923,40375569,,,needs_manual_extraction,,,,,,,,,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,needs_manual_definition
needs_manual_extraction,PMID:40573158,PubMed,40573158,https://pubmed.ncbi.nlm.nih.gov/40573158/,10.3390/nu17122047,40573158,,,needs_manual_extraction,,,,,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:40106235,PubMed,40106235,https://pubmed.ncbi.nlm.nih.gov/40106235/,10.1089/chi.2024.0344,40106235,,,,,,,needs_manual_extraction,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:41321998,PubMed,41321998,https://pubmed.ncbi.nlm.nih.gov/41321998/,10.1016/j.csbj.2025.11.021,41321998,,,needs_manual_extraction,,,,,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:40385498,PubMed,40385498,https://pubmed.ncbi.nlm.nih.gov/40385498/,10.1007/s40200-025-01632-6,40385498,,,needs_manual_extraction,,,,,,,,,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,needs_manual_definition
needs_manual_extraction,PMID:39051504,PubMed,39051504,https://pubmed.ncbi.nlm.nih.gov/39051504/,10.1039/d4fo00535j,39051504,,,,,,,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,,,needs_manual_definition
