species,genus,category,source,obesity_signal,shap_importance,bsh_potential,butyrate_scfa_potential,mucin_interaction,safety_tier,clinical_evidence,priority_tier,genome_accession,assembly_level,resolved_organism
Blautia_hydrogenotrophica,Blautia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_034356035.1,Complete Genome,Blautia hydrogenotrophica DSM 10507
Eubacterium_sp_OM08_24,Eubacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_lbp,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
Eubacterium_sp_CAG_251,Eubacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_lbp,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
Clostridium_lavalense,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_046603895.1,Complete Genome,Enterocloster lavalensis
Eisenbergiella_massiliensis,Eisenbergiella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_003435485.1,Scaffold,Eisenbergiella massiliensis
Monoglobus_pectinilyticus,Monoglobus,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_002874775.1,Chromosome,Monoglobus pectinilyticus
Faecalitalea_cylindroides,Faecalitalea,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_028321995.1,Scaffold,Faecalitalea cylindroides
Haemophilus_parainfluenzae,Haemophilus,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.1456,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_016127215.1,Complete Genome,Haemophilus parainfluenzae
Streptococcus_salivarius,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0935,0.0,0.0,0.0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_000253315.1,Complete Genome,Streptococcus salivarius JIM8777
Streptococcus_parasanguinis,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0712,0.0,0.0,0.0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_000164675.2,Complete Genome,Streptococcus parasanguinis ATCC 15912
Streptococcus_australis,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0527,0.0,0.0,0.0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_900476055.1,Complete Genome,Streptococcus australis
Veillonella_atypica,Veillonella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0513,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_041431435.1,Contig,Veillonella atypica
Haemophilus_sp_HMSC71H05,Haemophilus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0407,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,,no_isolate_genome_MAG_or_unresolved,
Klebsiella_variicola,Klebsiella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0297,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_020525545.1,Complete Genome,Klebsiella variicola subsp. variicola
Streptococcus_vestibularis,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0284,0.0,0.0,0.0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_900636445.1,Complete Genome,Streptococcus vestibularis
Klebsiella_quasipneumoniae,Klebsiella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0269,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_020099175.1,Complete Genome,Klebsiella quasipneumoniae
Streptococcus_gordonii,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0228,0.0,0.0,0.0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_019046945.1,Complete Genome,Streptococcus gordonii
Streptococcus_thermophilus,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0179,0.0,0.0,0.0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_903886475.1,Complete Genome,Streptococcus thermophilus
Klebsiella_pneumoniae,Klebsiella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0099,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_000240185.1,Complete Genome,Klebsiella pneumoniae subsp. pneumoniae HS11286
Actinomyces_sp_ICM47,Actinomyces,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0084,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,,no_isolate_genome_MAG_or_unresolved,
Escherichia_coli,Escherichia,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.007,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_000005845.2,Complete Genome,Escherichia coli str. K-12 substr. MG1655
Streptococcus_mitis,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0052,0.0,0.0,0.0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_018603625.2,Complete Genome,Streptococcus mitis
Actinomyces_sp_HMSC035G02,Actinomyces,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0044,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,,no_isolate_genome_MAG_or_unresolved,
Veillonella_dispar,Veillonella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0031,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_900637515.1,Complete Genome,Veillonella dispar
Actinomyces_odontolyticus,Actinomyces,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.003,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_031191545.1,Complete Genome,Schaalia odontolytica
Streptococcus_oralis,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0016,0.0,0.0,0.0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_900637025.1,Complete Genome,Streptococcus oralis ATCC 35037
Veillonella_parvula,Veillonella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0013,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_900186885.1,Complete Genome,Veillonella parvula
Veillonella_sp_T11011_6,Veillonella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0007,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,,no_isolate_genome_MAG_or_unresolved,
Actinomyces_oris,Actinomyces,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_016127955.1,Complete Genome,Actinomyces oris
Streptococcus_anginosus_group,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,0.0,0.0,0.0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_900636475.1,Complete Genome,Streptococcus anginosus
Streptococcus_sanguinis,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,0.0,0.0,0.0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_900475505.1,Complete Genome,Streptococcus sanguinis
Streptococcus_sp_A12,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,0.0,0.0,0.0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,,no_isolate_genome_MAG_or_unresolved,
Veillonella_infantium,Veillonella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_002959895.1,Contig,Veillonella infantium
Roseburia_intestinalis,Roseburia,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.1556,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_900537995.1,Complete Genome,Roseburia intestinalis L1-82
Clostridium_sp_CAG_58,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.1424,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Allisonella_histaminiformans,Allisonella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.1276,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_900103425.1,Scaffold,Dialister histaminiformans
Coprococcus_comes,Coprococcus,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.1233,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_025149785.1,Complete Genome,Coprococcus comes ATCC 27758
Eubacterium_hallii,Eubacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.1085,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_018140635.1,Chromosome,Anaerobutyricum hallii
Eubacterium_sp_CAG_180,Eubacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.1039,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Lawsonibacter_asaccharolyticus,Lawsonibacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.075,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCA_022453915.1,Complete Genome,Lawsonibacter asaccharolyticus
Slackia_isoflavoniconvertens,Slackia,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0689,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_014192995.1,Contig,Slackia isoflavoniconvertens
Holdemania_filiformis,Holdemania,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0664,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_003459085.1,Scaffold,Holdemania filiformis
Catenibacterium_mitsuokai,Catenibacterium,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.066,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_025148785.1,Complete Genome,Catenibacterium mitsuokai
Collinsella_massiliensis,Collinsella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.066,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCA_002161605.1,Contig,[Collinsella] massiliensis
Gemmiger_formicilis,Gemmiger,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0638,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_900167555.1,Scaffold,Gemmiger formicilis
Roseburia_faecis,Roseburia,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0622,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_045061065.1,Complete Genome,Roseburia faecis
Flavonifractor_plautii,Flavonifractor,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0605,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_010508875.1,Complete Genome,Flavonifractor plautii
Acidaminococcus_intestini,Acidaminococcus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0572,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_025144545.1,Complete Genome,Acidaminococcus intestini
Roseburia_inulinivorans,Roseburia,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0504,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_020731525.1,Contig,Roseburia inulinivorans DSM 16841
Clostridium_clostridioforme,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0398,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_012273195.1,Chromosome,Enterocloster clostridioformis (reclassified from Clostridium clostridioforme)
Collinsella_aerofaciens,Collinsella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0392,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_010509075.1,Complete Genome,Collinsella aerofaciens ATCC 25986
Prevotella_copri,Prevotella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0373,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_020735445.1,Complete Genome,Segatella copri DSM 18205
Coprobacter_fastidiosus,Coprobacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.034,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_030296935.1,Complete Genome,Coprobacter fastidiosus
Holdemanella_biformis,Holdemanella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0339,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_000156655.1,Scaffold,Holdemanella biformis DSM 3989
Ruminococcus_bromii,Ruminococcus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0315,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_928721825.1,Contig,Ruminococcus bromii
Eubacterium_sp_CAG_274,Eubacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0284,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Ruminococcus_torques,Ruminococcus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0241,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_044591705.1,Complete Genome,Mediterraneibacter torques
Bilophila_wadsworthia,Bilophila,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.024,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_050780155.1,Complete Genome,Bilophila wadsworthia
Ruthenibacterium_lactatiformans,Ruthenibacterium,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0236,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_000949455.1,Contig,Ruthenibacterium lactatiformans
Blautia_sp_CAG_257,Blautia,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0231,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Clostridium_bolteae,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0221,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_000371705.1,Scaffold,Enterocloster bolteae 90A9
Bacteroides_vulgatus,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0205,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_000012825.1,Complete Genome,Phocaeicola vulgatus ATCC 8482
Bacteroides_fragilis,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0203,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_000025985.1,Complete Genome,Bacteroides fragilis NCTC 9343
Dorea_longicatena,Dorea,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0194,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_025150085.1,Complete Genome,Dorea longicatena
Clostridium_disporicum,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0188,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_001405015.1,Scaffold,Clostridium disporicum
Clostridium_bolteae_CAG_59,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0178,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Eubacterium_rectale,Eubacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0177,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_022453685.1,Complete Genome,Agathobacter rectalis
Firmicutes_bacterium_CAG_83,Firmicutes,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0177,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Dielma_fastidiosa,Dielma,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0175,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_003475485.1,Scaffold,Dielma fastidiosa
Clostridium_saccharolyticum,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0166,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_000144625.1,Complete Genome,[Clostridium] saccharolyticum WM1
Anaeromassilibacillus_sp_An250,Anaeromassilibacillus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0165,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Phascolarctobacterium_sp_CAG_266,Phascolarctobacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0163,0.0,0.0,0.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Romboutsia_ilealis,Romboutsia,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0154,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_900015215.1,Chromosome,Romboutsia ilealis
Fretibacterium_fastidiosum,Fretibacterium,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0152,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_964642095.1,Complete Genome,Fretibacterium fastidiosum
Ruminococcus_bicirculans,Ruminococcus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.015,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,,no_genome_resolved_under_species_name,Ruminococcus bicirculans (no NCBI genome under species name; not fabricated)
Turicimonas_muris,Turicimonas,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0145,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_016696765.1,Chromosome,Turicimonas muris
Alistipes_inops,Alistipes,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0141,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_000786575.1,Contig,Alistipes inops
Pseudoflavonifractor_sp_An184,Pseudoflavonifractor,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0138,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Coprobacillus_cateniformis,Coprobacillus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0127,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_000269565.1,Contig,Coprobacillus cateniformis
Butyricimonas_virosa,Butyricimonas,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0123,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_025148635.1,Complete Genome,Butyricimonas virosa
Bacteroides_uniformis,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0122,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_044361425.1,Complete Genome,Bacteroides uniformis
Lachnospira_pectinoschiza,Lachnospira,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0113,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_900103815.1,Scaffold,Lachnospira pectinoschiza
Eubacterium_ventriosum,Eubacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0111,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_025150745.1,Complete Genome,Eubacterium ventriosum
Firmicutes_bacterium_CAG_170,Firmicutes,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0106,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Ruminococcaceae_bacterium_D16,Ruminococcaceae,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0106,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Clostridium_leptum,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0097,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCA_046983805.1,Contig,[Clostridium] leptum
Butyricimonas_synergistica,Butyricimonas,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0081,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_000379665.1,Scaffold,Butyricimonas synergistica DSM 23225
Collinsella_intestinalis,Collinsella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0075,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_902501455.1,Contig,Collinsella intestinalis
Parabacteroides_johnsonii,Parabacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0072,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_025151045.1,Complete Genome,Parabacteroides johnsonii DSM 18315
Eisenbergiella_tayi,Eisenbergiella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0069,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_001881565.1,Scaffold,Eisenbergiella tayi
Barnesiella_intestinihominis,Barnesiella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.006,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_000296465.1,Scaffold,Barnesiella intestinihominis YIT 11860
Coprobacter_secundus,Coprobacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0058,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_015097275.1,Complete Genome,Coprobacter secundus subsp. similis
Bacteroides_sp_CAG_144,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0057,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Oscillibacter_sp_CAG_241,Oscillibacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0056,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Eubacterium_sp_CAG_38,Eubacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0049,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Fusicatenibacter_saccharivorans,Fusicatenibacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0046,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_027667425.1,Scaffold,Fusicatenibacter saccharivorans
Bacteroides_eggerthii,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0043,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_025146565.1,Complete Genome,Bacteroides eggerthii
Akkermansia_muciniphila,Akkermansia,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0042,0.0,0.0,2.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_009731575.1,Complete Genome,Akkermansia muciniphila
Paraprevotella_xylaniphila,Paraprevotella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0041,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_900683745.1,Complete Genome,Paraprevotella xylaniphila YIT 11841
Eubacterium_ramulus,Eubacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0035,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_045002895.1,Complete Genome,Eubacterium ramulus
Dialister_invisus,Dialister,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0026,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_000160055.1,Scaffold,Dialister invisus DSM 15470
Enterorhabdus_caecimuris,Enterorhabdus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0025,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_000403355.2,Scaffold,Adlercreutzia caecimuris B7
Clostridium_sp_CAG_253,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0024,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Proteobacteria_bacterium_CAG_139,Proteobacteria,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0023,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Phascolarctobacterium_succinatutens,Phascolarctobacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0021,0.0,0.0,0.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_023497905.1,Chromosome,Phascolarctobacterium succinatutens
Dialister_sp_CAG_357,Dialister,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0021,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Aeriscardovia_aeriphila,Aeriscardovia,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0018,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_013408435.1,Contig,Aeriscardovia aeriphila
Firmicutes_bacterium_CAG_238,Firmicutes,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0017,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
Ruminococcus_callidus,Ruminococcus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0017,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_049562855.1,Complete Genome,Ruminococcus callidus
Bacteroides_finegoldii,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0017,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_000156195.1,Scaffold,Bacteroides finegoldii DSM 17565
Megamonas_hypermegale,Megamonas,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0015,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_900187035.1,Complete Genome,Megamonas hypermegale
Clostridium_innocuum,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0008,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_012317185.1,Complete Genome,[Clostridium] innocuum
Bacteroides_clarus,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0005,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_015555825.1,Scaffold,Bacteroides clarus
Asaccharobacter_celatus,Asaccharobacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0004,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCA_016865385.1,Complete Genome,Adlercreutzia equolifaciens subsp. celatus
Bacteroides_faecis_CAG_32,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0004,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,,no_isolate_genome_MAG_or_unresolved,
