species,genus,category,source,obesity_signal,shap_importance,bsh_potential,butyrate_scfa_potential,mucin_interaction,safety_tier,clinical_evidence,priority_tier,genome_accession,assembly_level,resolved_organism
Turicibacter_sanguinis,Turicibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.1435,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_013046825.1,Complete Genome,Turicibacter sanguinis
Bacteroides_intestinalis,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.109,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_000172175.1,Contig,Bacteroides intestinalis DSM 17393
Eubacterium_eligens,Eubacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.1059,,,,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_000146185.1,Complete Genome,Lachnospira eligens ATCC 27750
Roseburia_sp_CAG_303,Roseburia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0985,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
Anaerostipes_hadrus,Anaerostipes,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0868,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_030864025.1,Complete Genome,Anaerostipes hadrus
Phascolarctobacterium_faecium,Phascolarctobacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0694,0.0,0.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_003945365.1,Complete Genome,Phascolarctobacterium faecium
Methanobrevibacter_smithii,Methanobrevibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0645,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_000016525.1,Complete Genome,Methanobrevibacter smithii ATCC 35061
Bacteroides_plebeius,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0623,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_000187895.1,Scaffold,Phocaeicola plebeius DSM 17135
Gordonibacter_pamelaeae,Gordonibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0579,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_003340385.1,Scaffold,Gordonibacter pamelaeae
Intestinimonas_butyriciproducens,Intestinimonas,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0544,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_004154955.1,Complete Genome,Intestinimonas butyriciproducens
