rank,members,n_strains,mean_v3,has_strong_bsh,has_strong_crossfeeder,n_genera,clinical_members,cohort_supported_members,composite_v3
47,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_gasseri; Bifidobacterium_longum,4,0.8106,True,True,4,3,1,0.8636
48,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_rogosae; Bifidobacterium_animalis,4,0.8106,True,True,4,3,1,0.8636
49,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_helveticus; Bifidobacterium_longum,4,0.8106,True,True,4,3,1,0.8636
50,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_acidophilus; Bifidobacterium_animalis,4,0.8106,True,True,4,3,1,0.8636
51,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_rogosae; Bifidobacterium_longum,4,0.8106,True,True,4,3,1,0.8636
52,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Limosilactobacillus_reuteri; Bifidobacterium_longum,4,0.8106,True,True,4,3,1,0.8636
53,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_crispatus; Bifidobacterium_longum,4,0.8106,True,True,4,3,1,0.8636
54,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Limosilactobacillus_fermentum; Bifidobacterium_longum,4,0.8106,True,True,4,3,1,0.8636
55,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_ruminis; Bifidobacterium_longum,4,0.8106,True,True,4,3,1,0.8636
56,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Limosilactobacillus_reuteri; Bifidobacterium_animalis,4,0.8106,True,True,4,3,1,0.8636
57,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_acidophilus; Bifidobacterium_longum,4,0.8106,True,True,4,3,1,0.8636
58,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_helveticus; Bifidobacterium_animalis,4,0.8106,True,True,4,3,1,0.8636
59,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_johnsonii; Bifidobacterium_longum,4,0.8106,True,True,4,3,1,0.8636
60,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_crispatus; Bifidobacterium_animalis,4,0.8106,True,True,4,3,1,0.8636
61,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_gasseri; Bifidobacterium_animalis,4,0.8106,True,True,4,3,1,0.8636
62,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_ruminis; Bifidobacterium_animalis,4,0.8106,True,True,4,3,1,0.8636
63,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_johnsonii; Bifidobacterium_animalis,4,0.8106,True,True,4,3,1,0.8636
64,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Limosilactobacillus_fermentum; Bifidobacterium_animalis,4,0.8106,True,True,4,3,1,0.8636
65,Lactiplantibacillus_plantarum; Bifidobacterium_animalis,2,0.8075,True,True,2,2,1,0.8614
66,Lacticaseibacillus_paracasei; Bifidobacterium_animalis,2,0.8075,True,True,2,2,1,0.8614
67,Lacticaseibacillus_paracasei; Bifidobacterium_longum,2,0.8075,True,True,2,2,1,0.8614
68,Lactiplantibacillus_plantarum; Bifidobacterium_longum,2,0.8075,True,True,2,2,1,0.8614
69,Lactiplantibacillus_plantarum; Lacticaseibacillus_casei; Lactobacillus_rogosae,3,0.7987,True,True,3,1,0,0.855
70,Lactiplantibacillus_plantarum; Lacticaseibacillus_casei; Lactobacillus_johnsonii,3,0.7987,True,True,3,1,0,0.855
71,Lactiplantibacillus_plantarum; Lacticaseibacillus_casei; Lactobacillus_gasseri,3,0.7987,True,True,3,1,0,0.855
72,Lactiplantibacillus_plantarum; Lacticaseibacillus_casei; Lactobacillus_acidophilus,3,0.7987,True,True,3,1,0,0.855
73,Lactiplantibacillus_plantarum; Lacticaseibacillus_casei; Lactobacillus_crispatus,3,0.7987,True,True,3,1,0,0.855
74,Lactiplantibacillus_plantarum; Lacticaseibacillus_casei; Lactobacillus_helveticus,3,0.7987,True,True,3,1,0,0.855
75,Lactiplantibacillus_plantarum; Lacticaseibacillus_casei; Limosilactobacillus_reuteri,3,0.7987,True,True,3,1,0,0.855
76,Lactiplantibacillus_plantarum; Lacticaseibacillus_casei; Lactobacillus_ruminis,3,0.7987,True,True,3,1,0,0.855
77,Lactiplantibacillus_plantarum; Lacticaseibacillus_rhamnosus; Lactobacillus_ruminis,3,0.7987,True,True,3,1,0,0.855
78,Lactiplantibacillus_plantarum; Lacticaseibacillus_rhamnosus; Limosilactobacillus_fermentum,3,0.7987,True,True,3,1,0,0.855
79,Lactiplantibacillus_plantarum; Lacticaseibacillus_casei; Limosilactobacillus_fermentum,3,0.7987,True,True,3,1,0,0.855
80,Lactiplantibacillus_plantarum; Lacticaseibacillus_rhamnosus; Lactobacillus_gasseri,3,0.7987,True,True,3,1,0,0.855
81,Lactiplantibacillus_plantarum; Lacticaseibacillus_rhamnosus; Lactobacillus_crispatus,3,0.7987,True,True,3,1,0,0.855
82,Lactiplantibacillus_plantarum; Lacticaseibacillus_rhamnosus; Lactobacillus_acidophilus,3,0.7987,True,True,3,1,0,0.855
83,Lactiplantibacillus_plantarum; Lacticaseibacillus_rhamnosus; Lactobacillus_johnsonii,3,0.7987,True,True,3,1,0,0.855
84,Lactiplantibacillus_plantarum; Lacticaseibacillus_rhamnosus; Limosilactobacillus_reuteri,3,0.7987,True,True,3,1,0,0.855
85,Lactiplantibacillus_plantarum; Lacticaseibacillus_rhamnosus; Lactobacillus_rogosae,3,0.7987,True,True,3,1,0,0.855
86,Lactiplantibacillus_plantarum; Lacticaseibacillus_rhamnosus; Lactobacillus_helveticus,3,0.7987,True,True,3,1,0,0.855
87,Lacticaseibacillus_paracasei; Limosilactobacillus_reuteri; Lactobacillus_helveticus,3,0.7963,True,True,3,1,0,0.8534
88,Lactiplantibacillus_plantarum; Lactobacillus_acidophilus; Limosilactobacillus_reuteri,3,0.7963,True,True,3,1,0,0.8534
89,Lacticaseibacillus_paracasei; Lactobacillus_johnsonii; Limosilactobacillus_fermentum,3,0.7963,True,True,3,1,0,0.8534
90,Lacticaseibacillus_paracasei; Limosilactobacillus_reuteri; Lactobacillus_crispatus,3,0.7963,True,True,3,1,0,0.8534
91,Lactiplantibacillus_plantarum; Lactobacillus_rogosae; Limosilactobacillus_reuteri,3,0.7963,True,True,3,1,0,0.8534
92,Lacticaseibacillus_paracasei; Lactobacillus_crispatus; Limosilactobacillus_fermentum,3,0.7963,True,True,3,1,0,0.8534
93,Lactiplantibacillus_plantarum; Lactobacillus_johnsonii; Limosilactobacillus_fermentum,3,0.7963,True,True,3,1,0,0.8534
94,Lacticaseibacillus_paracasei; Lactobacillus_acidophilus; Limosilactobacillus_reuteri,3,0.7963,True,True,3,1,0,0.8534
95,Lactiplantibacillus_plantarum; Limosilactobacillus_reuteri; Lactobacillus_johnsonii,3,0.7963,True,True,3,1,0,0.8534
96,Lactiplantibacillus_plantarum; Limosilactobacillus_reuteri; Lactobacillus_helveticus,3,0.7963,True,True,3,1,0,0.8534
97,Lacticaseibacillus_paracasei; Lactobacillus_rogosae; Limosilactobacillus_fermentum,3,0.7963,True,True,3,1,0,0.8534
98,Lacticaseibacillus_paracasei; Lactobacillus_ruminis; Limosilactobacillus_reuteri,3,0.7963,True,True,3,1,0,0.8534
99,Lactiplantibacillus_plantarum; Lactobacillus_gasseri; Limosilactobacillus_fermentum,3,0.7963,True,True,3,1,0,0.8534
100,Lactiplantibacillus_plantarum; Lactobacillus_helveticus; Limosilactobacillus_fermentum,3,0.7963,True,True,3,1,0,0.8534
101,Lactiplantibacillus_plantarum; Lactobacillus_rogosae; Limosilactobacillus_fermentum,3,0.7963,True,True,3,1,0,0.8534
102,Lactiplantibacillus_plantarum; Lactobacillus_acidophilus; Limosilactobacillus_fermentum,3,0.7963,True,True,3,1,0,0.8534
103,Lactiplantibacillus_plantarum; Lactobacillus_gasseri; Limosilactobacillus_reuteri,3,0.7963,True,True,3,1,0,0.8534
104,Lacticaseibacillus_paracasei; Lactobacillus_helveticus; Limosilactobacillus_fermentum,3,0.7963,True,True,3,1,0,0.8534
105,Lactiplantibacillus_plantarum; Limosilactobacillus_reuteri; Lactobacillus_crispatus,3,0.7963,True,True,3,1,0,0.8534
106,Lacticaseibacillus_paracasei; Limosilactobacillus_reuteri; Lactobacillus_johnsonii,3,0.7963,True,True,3,1,0,0.8534
107,Lactiplantibacillus_plantarum; Lactobacillus_ruminis; Limosilactobacillus_fermentum,3,0.7963,True,True,3,1,0,0.8534
108,Lacticaseibacillus_paracasei; Lactobacillus_gasseri; Limosilactobacillus_fermentum,3,0.7963,True,True,3,1,0,0.8534
109,Lacticaseibacillus_paracasei; Lactobacillus_acidophilus; Limosilactobacillus_fermentum,3,0.7963,True,True,3,1,0,0.8534
110,Lacticaseibacillus_paracasei; Lactobacillus_ruminis; Limosilactobacillus_fermentum,3,0.7963,True,True,3,1,0,0.8534
111,Lactiplantibacillus_plantarum; Lactobacillus_ruminis; Limosilactobacillus_reuteri,3,0.7963,True,True,3,1,0,0.8534
112,Lacticaseibacillus_paracasei; Lactobacillus_gasseri; Limosilactobacillus_reuteri,3,0.7963,True,True,3,1,0,0.8534
113,Lacticaseibacillus_paracasei; Lactobacillus_rogosae; Limosilactobacillus_reuteri,3,0.7963,True,True,3,1,0,0.8534
114,Lactiplantibacillus_plantarum; Lactobacillus_crispatus; Limosilactobacillus_fermentum,3,0.7963,True,True,3,1,0,0.8534
115,Lactiplantibacillus_plantarum; Lacticaseibacillus_rhamnosus; Bifidobacterium_animalis,3,0.7945,True,True,3,2,1,0.852
116,Lactiplantibacillus_plantarum; Lacticaseibacillus_rhamnosus; Bifidobacterium_longum,3,0.7945,True,True,3,2,1,0.852
117,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Bifidobacterium_catenulatum,3,0.7945,True,True,3,2,1,0.852
