evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:35866596,literature,PubMed,35866596,https://pubmed.ncbi.nlm.nih.gov/35866596/,10.3920/BM2021.0159,35866596,Mild intermittent hypoxia exposure alters gut microbiota composition in men with overweight and obesity.,2022,Beneficial microbes,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:35255811,literature,PubMed,35255811,https://pubmed.ncbi.nlm.nih.gov/35255811/,10.1186/s12876-022-02176-2,35255811,"The effect of daily consumption of probiotic yogurt on liver enzymes, steatosis and fibrosis in patients with nonalcoholic fatty liver disease (NAFLD): study protocol for a randomized clinical trial.",2022,BMC gastroenterology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:35179758,literature,PubMed,35179758,https://pubmed.ncbi.nlm.nih.gov/35179758/,10.26355/eurrev_202202_28001,35179758,"A low glycemic index, energy-restricted diet but not Lactobacillus rhamnosus supplementation changes fecal short-chain fatty acid and serum lipid concentrations in women with overweight or obesity and polycystic ovary syndrome.",2022,European review for medical and pharmacological sciences,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:34359450,literature,PubMed,34359450,https://pubmed.ncbi.nlm.nih.gov/34359450/,10.3390/foods10071580,34359450,Synbiotic Supplementation Improves Obesity Index and Metabolic Biomarkers in Thai Obese Adults: A Randomized Clinical Trial.,2021,"Foods (Basel, Switzerland)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:33530034,literature,PubMed,33530034,https://pubmed.ncbi.nlm.nih.gov/33530034/,10.1016/j.preghy.2021.01.002,33530034,Pregnant women who develop preeclampsia have lower abundance of the butyrate-producer Coprococcus in their gut microbiota.,2021,Pregnancy hypertension,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:33292434,literature,PubMed,33292434,https://pubmed.ncbi.nlm.nih.gov/33292434/,10.1186/s13098-020-00603-6,33292434,Probiotics supplementation and insulin resistance: a systematic review.,2020,Diabetology & metabolic syndrome,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:32660025,literature,PubMed,32660025,https://pubmed.ncbi.nlm.nih.gov/32660025/,10.3390/nu12072041,32660025,Targeting the Intestinal Microbiota to Prevent Type 2 Diabetes and Enhance the Effect of Metformin on Glycaemia: A Randomised Controlled Pilot Study.,2020,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:32472285,literature,PubMed,32472285,https://pubmed.ncbi.nlm.nih.gov/32472285/,10.1007/s13679-020-00379-w,32472285,"Probiotics, Prebiotics, Synbiotics, Postbiotics, and Obesity: Current Evidence, Controversies, and Perspectives.",2020,Current obesity reports,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:31752378,literature,PubMed,31752378,https://pubmed.ncbi.nlm.nih.gov/31752378/,10.3390/nu11112837,31752378,Role of Probiotics in Non-alcoholic Fatty Liver Disease: Does Gut Microbiota Matter?,2019,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:31175629,literature,PubMed,31175629,https://pubmed.ncbi.nlm.nih.gov/31175629/,10.1007/s13679-019-00352-2,31175629,Understanding the Role of the Gut Microbiome and Microbial Metabolites in Obesity and Obesity-Associated Metabolic Disorders: Current Evidence and Perspectives.,2019,Current obesity reports,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:31167080,literature,PubMed,31167080,https://pubmed.ncbi.nlm.nih.gov/31167080/,10.1096/fj.201900665RR,31167080,Gut microbiota mediates the protective effects of dietary β-hydroxy-β-methylbutyrate (HMB) against obesity induced by high-fat diets.,2019,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:30425806,literature,PubMed,30425806,https://pubmed.ncbi.nlm.nih.gov/30425806/,,30425806,Probiotics and their role in gastrointestinal cancers prevention and treatment; an overview.,2018,Gastroenterology and hepatology from bed to bench,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:28528593,literature,PubMed,28528593,https://pubmed.ncbi.nlm.nih.gov/28528593/,10.1017/S0007114517000964,28528593,Polymannuronic acid ameliorated obesity and inflammation associated with a high-fat and high-sucrose diet by modulating the gut microbiome in a murine model.,2017,The British journal of nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:27528065,literature,PubMed,27528065,https://pubmed.ncbi.nlm.nih.gov/27528065/,10.1161/HYPERTENSIONAHA.116.07910,27528065,Increased Systolic and Diastolic Blood Pressure Is Associated With Altered Gut Microbiota Composition and Butyrate Production in Early Pregnancy.,2016,"Hypertension (Dallas, Tex. : 1979)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:26843076,literature,PubMed,26843076,https://pubmed.ncbi.nlm.nih.gov/26843076/,10.1007/s00125-016-3880-0,26843076,Microbial transmission from mothers with obesity or diabetes to infants: an innovative opportunity to interrupt a vicious cycle.,2016,Diabetologia,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:26395746,literature,PubMed,26395746,https://pubmed.ncbi.nlm.nih.gov/26395746/,10.1038/ijo.2015.197,26395746,"A novel cobiotic-based preventive approach against high-fat diet-induced adiposity, nonalcoholic fatty liver and gut derangement in mice.",2016,International journal of obesity (2005),needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:25809828,literature,PubMed,25809828,https://pubmed.ncbi.nlm.nih.gov/25809828/,10.1038/ijo.2015.40,25809828,Urinary (1)H-NMR-based metabolic profiling of children with NAFLD undergoing VSL#3 treatment.,2015,International journal of obesity (2005),needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:23510724,literature,PubMed,23510724,https://pubmed.ncbi.nlm.nih.gov/23510724/,10.1016/j.clnu.2013.02.007,23510724,Effect of Lactobacillus salivarius Ls-33 on fecal microbiota in obese adolescents.,2013,"Clinical nutrition (Edinburgh, Scotland)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
