evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:41921070,literature,PubMed,41921070,https://pubmed.ncbi.nlm.nih.gov/41921070/,10.1093/lambio/ovag041,41921070,Anti-obesity effects of probiotics beyond BMI: a critical review of human clinical trials.,2026,Letters in applied microbiology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:31064150,literature,PubMed,31064150,https://pubmed.ncbi.nlm.nih.gov/31064150/,10.3390/nu11051017,31064150,Mulberry Leaf Polyphenols and Fiber Induce Synergistic Antiobesity and Display a Modulation Effect on Gut Microbiota and Metabolites.,2019,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:30468509,literature,PubMed,30468509,https://pubmed.ncbi.nlm.nih.gov/30468509/,10.26355/eurrev_201811_16301,30468509,"Probiotics, prebiotics and synbiotics for weight loss and metabolic syndrome in the microbiome era.",2018,European review for medical and pharmacological sciences,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:28792488,literature,PubMed,28792488,https://pubmed.ncbi.nlm.nih.gov/28792488/,10.1038/ijo.2017.161,28792488,Effect of Lactobacillus on body weight and body fat in overweight subjects: a systematic review of randomized controlled clinical trials.,2017,International journal of obesity (2005),needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:28618860,literature,PubMed,28618860,https://pubmed.ncbi.nlm.nih.gov/28618860/,10.3920/BM2016.0170,28618860,The effects of the Lactobacillus casei strain on obesity in children: a pilot study.,2017,Beneficial microbes,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:23886977,literature,PubMed,23886977,https://pubmed.ncbi.nlm.nih.gov/23886977/,10.3920/BM2012.0069,23886977,The development of probiotic treatment in obesity: a review.,2014,Beneficial microbes,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:22634320,literature,PubMed,22634320,https://pubmed.ncbi.nlm.nih.gov/22634320/,10.1016/j.micpath.2012.05.007,22634320,Comparative meta-analysis of the effect of Lactobacillus species on weight gain in humans and animals.,2012,Microbial pathogenesis,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
