evidence_id,source_database,source_accession,doi,pmid,priority,relevance_score,study_tag,intervention_type_hint,taxa_hint,outcome_hint,year,title,source_url
PMID:40409234,PubMed,40409234,10.1016/j.clnu.2025.05.005,40409234.0,high,4,randomized_controlled_trial,probiotic,,weight;glucose,2025,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,https://pubmed.ncbi.nlm.nih.gov/40409234/
PMID:37447365,PubMed,37447365,10.3390/nu15133039,37447365.0,high,4,randomized_controlled_trial,probiotic;synbiotic,,weight;body_composition;glucose,2023,"Effect of a Probiotic and a Synbiotic on Body Fat Mass, Body Weight and Traits of Metabolic Syndrome in Individuals with Abdominal Overweight: A Human, Double-Blind, Randomised, Controlled Clinical Study.",https://pubmed.ncbi.nlm.nih.gov/37447365/
PMID:37111082,PubMed,37111082,10.3390/nu15081863,37111082.0,high,4,randomized_controlled_trial,synbiotic,,weight;body_composition;microbiome,2023,"Effect of a Multispecies Synbiotic Supplementation on Body Composition, Antioxidant Status, and Gut Microbiomes in Overweight and Obese Subjects: A Randomized, Double-Blind, Placebo-Controlled Study.",https://pubmed.ncbi.nlm.nih.gov/37111082/
NCT:NCT02125955,ClinicalTrials.gov,NCT02125955,,,high,4,clinical_trial_registry,prebiotic,,weight;microbiome,2014,"Effect of Prebiotic Intake on Adiposity, Satiety and Gut Microbiota in Overweight and Obese Children",https://clinicaltrials.gov/study/NCT02125955
NCT:NCT02151825,ClinicalTrials.gov,NCT02151825,,,high,4,clinical_trial_registry,synbiotic,,weight;microbiome,2011,Effect of a Synbiotic on the Gut Microbiota and Adiposity-related Markers in Healthy Overweight Subjects,https://clinicaltrials.gov/study/NCT02151825
PMID:41512635,PubMed,41512635,10.1016/j.clnu.2025.106560,41512635.0,high,3,randomized_controlled_trial,synbiotic,,weight;microbiome,2026,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",https://pubmed.ncbi.nlm.nih.gov/41512635/
PMID:41321998,PubMed,41321998,10.1016/j.csbj.2025.11.021,41321998.0,high,3,randomized_controlled_trial,,,weight;microbiome,2025,Gut microbiome enterotypes and temporal variations during a six-month inulin-supplemented weight loss randomized controlled trial in Thai children with obesity.,https://pubmed.ncbi.nlm.nih.gov/41321998/
PMID:40416368,PubMed,40416368,10.3389/fnut.2025.1542145,40416368.0,high,3,randomized_controlled_trial,,Bacillus,weight;microbiome,2025,"Effect of Bacillus coagulans BC99 supplementation on body weight and gut microbiota in overweight and obese individual: a randomized, double-blind, placebo-controlled study.",https://pubmed.ncbi.nlm.nih.gov/40416368/
PMID:40385498,PubMed,40385498,10.1007/s40200-025-01632-6,40385498.0,high,3,randomized_controlled_trial,synbiotic,,weight;glucose,2025,"Effects of multi-strain synbiotic supplementation on liver enzymes, insulin resistance, anthropometric, and inflammatory indices in overweight and obese adults with fatty liver and diabetes: a randomized controlled trial.",https://pubmed.ncbi.nlm.nih.gov/40385498/
PMID:39456659,PubMed,39456659,10.3390/ijms252010871,39456659.0,high,3,randomized_controlled_trial,,Bifidobacterium,weight;microbiome,2024,Gut Microbiome and Metabolome Alterations in Overweight or Obese Adult Population after Weight-Loss Bifidobacterium breve BBr60 Intervention: A Randomized Controlled Trial.,https://pubmed.ncbi.nlm.nih.gov/39456659/
PMID:39051504,PubMed,39051504,10.1039/d4fo00535j,39051504.0,high,3,randomized_controlled_trial,,Bifidobacterium,body_composition;lipid,2024,"Bifidobacterium lactis IDCC 4301 (B. lactis Fit™) supplementation effects on body fat, serum triglyceride, and adipokine ratio in obese women: a randomized clinical trial.",https://pubmed.ncbi.nlm.nih.gov/39051504/
PMID:38999741,PubMed,38999741,10.3390/nu16131993,38999741.0,high,3,randomized_controlled_trial,,Lacticaseibacillus;Lactiplantibacillus,weight;body_composition,2024,"The Effect of the Lacticaseibacillus paracasei BEPC22 and Lactiplantibacillus plantarum BELP53 Combination (BN-202M) on Body Fat Percentage Loss in Overweight Individuals: A Randomized, Double-Blind, Placebo-Controlled Study.",https://pubmed.ncbi.nlm.nih.gov/38999741/
PMID:38542727,PubMed,38542727,10.3390/nu16060815,38542727.0,high,3,randomized_controlled_trial,,Bifidobacterium,weight;body_composition,2024,Effects of Bifidobacterium longum BB536 and Bifidobacterium breve MCC1274 on Body Composition in Normal and Overweight Adults in Randomized Placebo-Controlled Study.,https://pubmed.ncbi.nlm.nih.gov/38542727/
PMID:37836532,PubMed,37836532,10.3390/nu15194248,37836532.0,high,3,randomized_controlled_trial,synbiotic,,weight;glucose,2023,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.,https://pubmed.ncbi.nlm.nih.gov/37836532/
PMID:36606510,PubMed,36606510,10.1002/edm2.402,36606510.0,high,3,needs_manual_classification,probiotic;prebiotic,,weight;glucose,2023,"A clinical trial about effects of prebiotic and probiotic supplementation on weight loss, psychological profile and metabolic parameters in obese subjects.",https://pubmed.ncbi.nlm.nih.gov/36606510/
PMID:37580231,PubMed,37580231,10.1016/j.numecd.2023.07.030,37580231.0,high,3,randomized_controlled_trial,probiotic,,body_composition;glucose,2023,"No effect of multi-strain probiotic supplementation on metabolic and inflammatory markers and newborn body composition in pregnant women with obesity: Results from a randomized, double-blind placebo-controlled study.",https://pubmed.ncbi.nlm.nih.gov/37580231/
PMID:37424169,PubMed,37424169,10.1002/oby.23801,37424169.0,high,3,randomized_controlled_trial,synbiotic,,weight;glucose,2023,Effect of synbiotics on weight loss and metabolic health in adults with overweight and obesity: A randomized controlled trial.,https://pubmed.ncbi.nlm.nih.gov/37424169/
PMID:36352899,PubMed,36352899,10.3389/fnut.2022.1007506,36352899.0,high,3,randomized_controlled_trial,,,weight;microbiome,2022,Effect of garlic extract on weight loss and gut microbiota composition in obese women: A double-blind randomized controlled trial.,https://pubmed.ncbi.nlm.nih.gov/36352899/
PMID:34434546,PubMed,34434546,10.1016/j.amsu.2021.102548,34434546.0,high,3,randomized_controlled_trial,synbiotic,,weight;glucose,2021,Effects of synbiotic supplement on body weight and fasting blood glucose levels in obesity: A randomized placebo-controlled trial.,https://pubmed.ncbi.nlm.nih.gov/34434546/
NCT:NCT04611477,ClinicalTrials.gov,NCT04611477,,,high,3,clinical_trial_registry,synbiotic,,weight;body_composition,2020,Effect of Synbiotic 365 on Body Composition in Overweight and Obese Individuals,https://clinicaltrials.gov/study/NCT04611477
NCT:NCT04642482,ClinicalTrials.gov,NCT04642482,,,high,3,clinical_trial_registry,synbiotic,,glucose;microbiome,2019,Synbiotic Therapy on Intestinal Microbiota and Insulin Resistance in Obesity,https://clinicaltrials.gov/study/NCT04642482
NCT:NCT02893943,ClinicalTrials.gov,NCT02893943,,,high,3,clinical_trial_registry,probiotic,,weight;body_composition,2017,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals,https://clinicaltrials.gov/study/NCT02893943
NCT:NCT05423015,ClinicalTrials.gov,NCT05423015,,,high,3,clinical_trial_registry,synbiotic,,weight;microbiome,2017,Assessment of the Effects of Synbiotic on Gut Microbiota Composition in Scholars With Overweight,https://clinicaltrials.gov/study/NCT05423015
PMID:28792488,PubMed,28792488,10.1038/ijo.2017.161,28792488.0,high,3,meta_analysis_or_systematic_review,,Lactobacillus,weight;body_composition,2017,Effect of Lactobacillus on body weight and body fat in overweight subjects: a systematic review of randomized controlled clinical trials.,https://pubmed.ncbi.nlm.nih.gov/28792488/
PMID:27810310,PubMed,27810310,10.1016/j.ebiom.2016.10.036,27810310.0,high,3,randomized_controlled_trial,probiotic,,weight;body_composition,2016,"Probiotic With or Without Fiber Controls Body Fat Mass, Associated With Serum Zonulin, in Overweight and Obese Adults-Randomized Controlled Trial.",https://pubmed.ncbi.nlm.nih.gov/27810310/
NCT:NCT02217579,ClinicalTrials.gov,NCT02217579,,,high,3,clinical_trial_registry,prebiotic,,weight,2013,Effect of Protein and Prebiotic Fiber Intake on Adiposity in Overweight and Obese Adults,https://clinicaltrials.gov/study/NCT02217579
NCT:NCT01004120,ClinicalTrials.gov,NCT01004120,,,high,3,clinical_trial_registry,prebiotic,,weight;glucose,2009,Efficacy of a Prebiotic Galactooligosaccharide to Reduce Metabolic Syndrome Risk Factors in Overweight Adults,https://clinicaltrials.gov/study/NCT01004120
NCT:NCT07593170,ClinicalTrials.gov,NCT07593170,,,high,2,clinical_trial_registry,,,glucose,2026,AKK Study in Improving Obesity and Metabolic Status in Children and Adolescents,https://clinicaltrials.gov/study/NCT07593170
NCT:NCT07559227,ClinicalTrials.gov,NCT07559227,,,high,2,clinical_trial_registry,,,glucose,2026,"Gut, Immune, and Vascular Health in Metabolically Healthy Obesity",https://clinicaltrials.gov/study/NCT07559227
EUROPEPMC:41921070,PubMed,41921070,10.1093/lambio/ovag041,41921070.0,high,2,review,probiotic,,BMI,2026,Anti-obesity effects of probiotics beyond BMI: a critical review of human clinical trials.,https://europepmc.org/article/MED/41921070
EUROPEPMC:41938967,PubMed,41938967,10.3389/fpubh.2026.1767108,41938967.0,high,2,meta_analysis_or_systematic_review,probiotic,,weight,2026,Efficacy of probiotic supplementation for body weight management in overweight and obese adults: a meta-analysis of randomized controlled trials predominantly from East Asia.,https://europepmc.org/article/MED/41938967
EUROPEPMC:42074987,PubMed,42074987,10.3390/nu18081174,42074987.0,high,2,randomized_controlled_trial,postbiotic,Limosilactobacillus,weight;glucose,2026,"A Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Effect of <i>Limosilactobacillus fermentum</i> K8-Lb1 Postbiotic on Weight Management and Metabolic Health Outcomes.",https://europepmc.org/article/MED/42074987
EUROPEPMC:42141362,PubMed,42141362,10.1002/oby.70224,42141362.0,high,2,randomized_controlled_trial,,,glucose,2026,Effect of Sevelamer and B. longum on Insulin Sensitivity in Participants With Obesity: A Randomized Clinical Trial.,https://europepmc.org/article/MED/42141362
EUROPEPMC:41814326,PubMed,41814326,10.1186/s12986-026-01101-8,41814326.0,high,2,randomized_controlled_trial,synbiotic,,glucose,2026,Effects of synbiotic supplementation on metabolic profiles in children with obesity: a randomized double-blinded placebo-controlled trial.,https://europepmc.org/article/MED/41814326
PMID:42120725,PubMed,42120725,10.1038/s41591-026-04394-7,42120725.0,high,2,randomized_controlled_trial,,Akkermansia,weight,2026,Pasteurized Akkermansia muciniphila Muc(T) for weight loss maintenance in people with overweight and obesity: a controlled randomized trial.,https://pubmed.ncbi.nlm.nih.gov/42120725/
PMID:41524907,PubMed,41524907,10.1007/s00394-025-03873-w,41524907.0,high,2,randomized_controlled_trial,,,weight,2026,A multifaceted lifestyle program for weight loss in overweight adults: evidence from a randomised clinical trial.,https://pubmed.ncbi.nlm.nih.gov/41524907/
PMID:41410576,PubMed,41410576,10.1039/d5fo01687h,41410576.0,high,2,randomized_controlled_trial,probiotic,,weight,2026,"Daily mango (Mangifera indica L.) consumption supplemented with probiotics differentially modulates inflammation and cognitive function in individuals with overweight or obesity: a placebo-controlled, double-blind, and randomized trial.",https://pubmed.ncbi.nlm.nih.gov/41410576/
NCT:NCT06780007,ClinicalTrials.gov,NCT06780007,,,high,2,clinical_trial_registry,,Akkermansia,weight,2025,Weight Loss Effect of Akkermansia Muciniphila in Obese Patients,https://clinicaltrials.gov/study/NCT06780007
NCT:NCT07515443,ClinicalTrials.gov,NCT07515443,,,high,2,randomized_controlled_trial,synbiotic,,glucose;microbiome,2025,The Effects of a Commercially Available Synbiotic on the Gut Microbiome and Cardiometabolic Health: A Randomized Double-Blind Placebo-Controlled Trial,https://clinicaltrials.gov/study/NCT07515443
EUROPEPMC:40987620,PubMed,40987620,10.1016/j.orcp.2025.08.010,40987620.0,high,2,meta_analysis_or_systematic_review,synbiotic,,weight,2025,Can pre-/pro and synbiotics affect cardiovascular risk factors in children and adolescence with overweight and obesity? A grade-assessed systematic review and meta-analysis of randomized controlled trials.,https://europepmc.org/article/MED/40987620
PMID:40066582,PubMed,40066582,10.20960/nh.05563,40066582.0,high,2,randomized_controlled_trial,probiotic,,lipid,2025,"Effects of probiotic supplementation on blood lipids ın hypercholesterolemic obese patients: a randomized, double-blind, placebo-controlled pilot trial.",https://pubmed.ncbi.nlm.nih.gov/40066582/
