evidence_id,source_database,source_accession,title,sample_size_hint,duration_hint,cfu_hint,dose_hint,bmi_hint,p_value_hint,intervention_hint,primary_outcome_hint,body_weight_effect_hint,bmi_effect_hint,waist_effect_hint,body_fat_effect_hint,glucose_effect_hint,lipid_effect_hint,microbiome_effect_hint,manual_extraction_note
PMID:40409234,PubMed,40409234,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,66 individuals,12 weeks; 3 months,3 x 10^10 CFU/day,,,p < 0.05,,,"Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).","Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).","Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).","Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).","Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).","Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).",,Review source text before entering numeric values into final tables.
PMID:37447365,PubMed,37447365,"Effect of a Probiotic and a Synbiotic on Body Fat Mass, Body Weight and Traits of Metabolic Syndrome in Individuals with Abdominal Overweight: A Human, Double-Blind, Randomised, Controlled Clinical Study.",180 individuals,3 months,,10 g daily,,p = 0.039; p = 0.012; p = 0.011; p = 0.03; p = 0.033; p < 0.001; p = 0.002; p = 0.009,,,"Accordingly, differences were found in &#8710; body weight (p = 0.012), BMI (p = 0.011), waist circumference (p = 0.03), waist-to-height ratio (p = 0.033), visceral adipose tissue (SAD) (p < 0.001) and liver steatosis grade (LSG) (p < 0.001), as assessed using sonography.","Accordingly, differences were found in &#8710; body weight (p = 0.012), BMI (p = 0.011), waist circumference (p = 0.03), waist-to-height ratio (p = 0.033), visceral adipose tissue (SAD) (p < 0.001) and liver steatosis grade (LSG) (p < 0.001), as assessed using sonography.","Accordingly, differences were found in &#8710; body weight (p = 0.012), BMI (p = 0.011), waist circumference (p = 0.03), waist-to-height ratio (p = 0.033), visceral adipose tissue (SAD) (p < 0.001) and liver steatosis grade (LSG) (p < 0.001), as assessed using sonography.",The alteration (&#8710;) in body fat mass (kg) (primary parameter) during intervention was significantly (p = 0.039) more pronounced in the Probiotic group (-0.61 &#177; 1.94; mean &#177; SD) compared with the Placebo group (+0.13 &#177; 1.64).,,,,Review source text before entering numeric values into final tables.
PMID:37111082,PubMed,37111082,"Effect of a Multispecies Synbiotic Supplementation on Body Composition, Antioxidant Status, and Gut Microbiomes in Overweight and Obese Subjects: A Randomized, Double-Blind, Placebo-Controlled Study.",63 individuals,12 weeks,,2 g,,,,,"At the end of the study, there were no significant differences observed in body weight, BMI, waist circumference, or percentage of body fat between the synbiotic group and the placebo group.","At the end of the study, there were no significant differences observed in body weight, BMI, waist circumference, or percentage of body fat between the synbiotic group and the placebo group.","The results of the study indicated that synbiotic supplementation resulted in a significant reduction in waist circumference and body fat percentage compared to the baseline measurements, as observed at 12 weeks.","The results of the study indicated that synbiotic supplementation resulted in a significant reduction in waist circumference and body fat percentage compared to the baseline measurements, as observed at 12 weeks.",,,"For the gut microbiota analysis, synbiotic supplementation significantly decreased Firmicutes abundance and the Firmicutes/Bacteroidetes (F/B) ratio at week 12 as compared to the placebo group.",Review source text before entering numeric values into final tables.
NCT:NCT02125955,ClinicalTrials.gov,NCT02125955,"Effect of Prebiotic Intake on Adiposity, Satiety and Gut Microbiota in Overweight and Obese Children",42,,,,,,Prebiotic fiber; Placebo,Body fat,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT02151825,ClinicalTrials.gov,NCT02151825,Effect of a Synbiotic on the Gut Microbiota and Adiposity-related Markers in Healthy Overweight Subjects,54,,,,,,Synbiotic; Placebo,Changes to the gut microbiota,,,,,,,,Review source text before entering numeric values into final tables.
PMID:41512635,PubMed,41512635,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",112 participants,12-week; 6-week,,,BMI: 24.0-34.9; BMI <28,p = 0.048; p = 0.051; p = 0.003; p = 0.027; p = 0.077,,,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.","We hypothesized that this intervention would improve metabolic health parameters, particularly visceral adiposity.; In a 12-week, double-blind, randomized, placebo-controlled, parallel-group trial with a 6-week post-intervention follow-up, 112 participants (BMI: 24.0-34.9 kg/m2) received daily synbiotic or a matched placebo.","Although no significant changes occurred in blood biochemistry, BMI, or waist circumference, the synbiotic group showed a trend toward greater total body fat reduction between weeks 12-18 (p = 0.077).","Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",,,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",Review source text before entering numeric values into final tables.
PMID:41321998,PubMed,41321998,Gut microbiome enterotypes and temporal variations during a six-month inulin-supplemented weight loss randomized controlled trial in Thai children with obesity.,,,,,,,,,,,,,,,,Review source text before entering numeric values into final tables.
PMID:40416368,PubMed,40416368,Effect of,,8 weeks,,3 g,,P < 0.01; P < 0.05,,,Effect of Probiotic supplementation is a safe and effective way to reduce overweight and obesity by regulating the gut microbiota.,,,,,"This study aimed to assess the effects of BC99 on the gut microbiota, body weight and lipid profiles of overweight and obese individuals.; A total of 66 adult individuals were randomly assigned to a probiotic group (supplemented with 5 &#215; 109 colony-forming units of BC99 per day along with 3 g of maltodextrin) and placebo group (supplemented with 3 g of maltodextrin daily) in a 1:1 ratio.; After 8 weeks of oral administration, BC99 intervention significantly decreased the body weight of overweigh",Effect of Probiotic supplementation is a safe and effective way to reduce overweight and obesity by regulating the gut microbiota.,Review source text before entering numeric values into final tables.
PMID:40385498,PubMed,40385498,"Effects of multi-strain synbiotic supplementation on liver enzymes, insulin resistance, anthropometric, and inflammatory indices in overweight and obese adults with fatty liver and diabetes: a randomized controlled trial.",20 individuals,12-week,,,,P < 0.05,,,"The intervention group showed significant reductions in within group analysis for insulin levels, weight, and BMI (P < 0.05).","The intervention group showed significant reductions in within group analysis for insulin levels, weight, and BMI (P < 0.05).",,,"The intervention group showed significant reductions in within group analysis for insulin levels, weight, and BMI (P < 0.05).","Additionally, changes in inflammatory markers, lipid profiles, and insulin resistance indices were not statistically significant.; In the present study, synbiotic supplements showed improvements in insulin levels, weight, BMI, and AST.",,Review source text before entering numeric values into final tables.
PMID:39456659,PubMed,39456659,Gut Microbiome and Metabolome Alterations in Overweight or Obese Adult Population after Weight-Loss,,12 weeks,1 x 10^10 CFU/day,,,p < 0.05,,,"This study involved 75 overweight or obese young adults, randomly assigned to either a Bifidobacterium breve BBr60 (BBr60) group or a placebo group.","After 12 weeks, BBr60 significantly reduced weight and BMI compared to pretreatment levels and outperformed the placebo.",,,"The BBr60 group also showed improved blood biochemistry, with notably lower fasting blood glucose (FBG) levels than the placebo group (p < 0.05).",,,Review source text before entering numeric values into final tables.
PMID:39051504,PubMed,39051504,,n = 49; n = 50,12 weeks,5.0 x 10^9 CFU,60 mg; 62 mg,,p = 0.0407; p = 0.0200; p = 0.0088; p = 0.0112; p = 0.0009; p = 0.0006,,,,"In addition, BMI (26.6 &#177; 1.9 kg m-2 to 26.4 &#177; 2.0 kg m-2, p = 0.0009) and leg fat (42 &#177; 5% to 41 &#177; 5%, p = 0.0006) significantly decreased in the probiotics group after 12 weeks, but there was no difference in the placebo group.",,"A significant positive correlation was found between the change in total fat mass and log leptin/adiponectin ratio (R = 0.371, p = 0.0112) in the probiotics group.",,"After 12 weeks, changes in total fat (placebo -0.16 &#177; 0.83 kg; probiotics -0.45 &#177; 0.83 kg; p = 0.0407), trunk fat (placebo -0.03 &#177; 0.50 kg; probiotics -0.22 &#177; 0.51 kg; p = 0.0200), and serum triglyceride concentration (placebo 13 &#177; 60 mg dL-1; probiotics -15 &#177; 62 mg dL-1; p = 0.0088) were significantly different between the groups.",,Review source text before entering numeric values into final tables.
PMID:38999741,PubMed,38999741,The Effect of the,150 participants,12 weeks,,,,p = 0.009; p = 0.023; p = 0.004; p = 0.003,,,Body fat reduction effect and safety of BN-202M were assessed in overweight participants.,"The body weight (-0.58 kg, p = 0.004) and body mass index (BMI; -0.23, p = 0.003) was found to decrease significantly at 12 weeks in the BN-202M group, but not in the placebo group.",,Body fat reduction effect and safety of BN-202M were assessed in overweight participants.,,,"In the gut microbiota analysis, Akkermansia showed a statistically significant increase in the BN-202M group post-intake compared to the placebo group.",Review source text before entering numeric values into final tables.
PMID:38542727,PubMed,38542727,Effects of,,16 weeks,5 x 10^9 CFU,,,,,,"breve MCC1274 reduced abdominal visceral fat and total fat levels in healthy normal and overweight adults, suggesting their beneficial effects on body composition.","Additionally, the increase in BMI observed in the placebo group was significantly suppressed in the probiotics group.",,"In the probiotics group, abdominal visceral fat area, total abdominal fat area, and serum triglyceride levels were significantly decreased compared to those in the placebo group.",,"In the probiotics group, abdominal visceral fat area, total abdominal fat area, and serum triglyceride levels were significantly decreased compared to those in the placebo group.",,Review source text before entering numeric values into final tables.
PMID:37836532,PubMed,37836532,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.,n = 19; n = 18,8-week,,,,,,,Assessment of the metabolic syndrome traits and profiling of the fecal gut microbiota using 16S rRNA gene sequencing in overweight and obese Hong Kong Chinese individuals before and after dietary intervention with an 8-week increased consumption of fruits and vegetables and/or synbiotic supplementation was conducted.,,,,"DSG showed the greatest weight loss effects and number of significant differences in clinical parameters compared to its baseline values-notably, decreases in fasting glucose, insulin, HOMA-IR, and triglycerides and an increase in HDL-cholesterol.","DSG showed the greatest weight loss effects and number of significant differences in clinical parameters compared to its baseline values-notably, decreases in fasting glucose, insulin, HOMA-IR, and triglycerides and an increase in HDL-cholesterol.",Assessment of the metabolic syndrome traits and profiling of the fecal gut microbiota using 16S rRNA gene sequencing in overweight and obese Hong Kong Chinese individuals before and after dietary intervention with an 8-week increased consumption of fruits and vegetables and/or synbiotic supplementation was conducted.,Review source text before entering numeric values into final tables.
PMID:36606510,PubMed,36606510,"A clinical trial about effects of prebiotic and probiotic supplementation on weight loss, psychological profile and metabolic parameters in obese subjects.",,1 month,,30 g,,p < .05; p = .001; p = .008; p = .03; p = .012; p = .02,,,"The aim of our work was to study the influence of pre and probiotics on weight loss psychological profile and metabolic parameters in obese patients.; It is a clinical trial involving 45 obese patients, recruited from the Obesity Unit of the National Institute of Nutrition between March and August 2022 divided into three groups: diet only (low-carbohydrate and reduced energy diet), prebiotics (30 g of carob/day) and probiotics (one tablet containing Bifidobacterium longum, Lactobacillus helvetic","All three groups showed a significant decrease in weight, BMI and waist circumference with p < .05.","All three groups showed a significant decrease in weight, BMI and waist circumference with p < .05.","Only the prebiotic and probiotic group showed a significant decrease in fat mass (p = .001) and a significant increase in muscle strength with p = .008 and .004, but the differences were not significant between the three groups.",Our results showed also a significant decrease in insulinemia and HOMA-IR in the prebiotic group compared to the diet-alone group (p = .03; p = .012) and the probiotic group showed a significant decrease in fasting blood glucose compared to the diet alone group (p = .02).,,,Review source text before entering numeric values into final tables.
PMID:37580231,PubMed,37580231,"No effect of multi-strain probiotic supplementation on metabolic and inflammatory markers and newborn body composition in pregnant women with obesity: Results from a randomized, double-blind placebo-controlled study.",50 participants,20 weeks,,,BMI &#8805;30,,,,,,,,,,,Review source text before entering numeric values into final tables.
PMID:37424169,PubMed,37424169,Effect of synbiotics on weight loss and metabolic health in adults with overweight and obesity: A randomized controlled trial.,172 participants,12-week,,,BMI of 25,p < 0.0001; p = 0.0711; p = 0.0205,,,"Secondary outcomes were changes in weight, other metabolic health and inflammatory markers, gastrointestinal quality of life, and eating behaviors.; The V5 and V7 groups had a significant reduction in BMI (p < 0.0001) from baseline to the end of the study, as opposed to the nonsignificant change in the placebo group (p = 0.0711).","Secondary outcomes were changes in weight, other metabolic health and inflammatory markers, gastrointestinal quality of life, and eating behaviors.; The V5 and V7 groups had a significant reduction in BMI (p < 0.0001) from baseline to the end of the study, as opposed to the nonsignificant change in the placebo group (p = 0.0711).",,,,,,Review source text before entering numeric values into final tables.
PMID:36352899,PubMed,36352899,Effect of garlic extract on weight loss and gut microbiota composition in obese women: A double-blind randomized controlled trial.,16 subjects,2 months; 2-month,,400 mg,,P < 0.05; P < 0.01; P = 0.007,,,,"Baseline body mass index (BMI) was significantly different between groups, subjects in the placebo group had lower BMI compared with the Allium group (P < 0.05).",,,Fasting insulin level significantly decreased in the both groups (P < 0.01).,,"We evaluated the gut microbiota composition using quantitative real-time PCR.; In total, 16 subjects in each group completed the 2-month trial.",Review source text before entering numeric values into final tables.
PMID:34434546,PubMed,34434546,Effects of synbiotic supplement on body weight and fasting blood glucose levels in obesity: A randomized placebo-controlled trial.,8 participants,8 weeks; 4 weeks,,6.125 mg,,,,,"BW, BMI, and FBG level were measured at baseline, 8 weeks after supplementation, and 4 weeks after terminating the supplementation.; There were no significant change of body weight and BMI after 8 weeks synbiotics supplementation and 4 weeks after supplement discontinuation, but there were significant increases in body weight by 3.38 kg and BMI by 1.37 kg/m2 in the control group.","BW, BMI, and FBG level were measured at baseline, 8 weeks after supplementation, and 4 weeks after terminating the supplementation.; There were no significant change of body weight and BMI after 8 weeks synbiotics supplementation and 4 weeks after supplement discontinuation, but there were significant increases in body weight by 3.38 kg and BMI by 1.37 kg/m2 in the control group.",,,Fasting blood glucose levels were significantly decreased by 6.125 mg/dL after synbiotic supplementation.,,,Review source text before entering numeric values into final tables.
NCT:NCT04611477,ClinicalTrials.gov,NCT04611477,Effect of Synbiotic 365 on Body Composition in Overweight and Obese Individuals,180,,,,,,Rice Hulk; Synbiotic365 Ver 5; Synbiotic365 Ver 7,Change in body mass index (BMI) and the percentage of body fat f,"Effect of Synbiotic 365 on Body Composition in Overweight and Obese Individuals  Rice Hulk; Synbiotic365 Ver 5; Synbiotic365 Ver 7 Change in body mass index (BMI) and the percentage of body fat f &#8226; Total body weight change in comparison to placebo on day 28, 56 and 84, from baseline, as assessed by weighing scale method.; &#8226; Change in central obesity in comparison to placebo on day 28, 56 and 84, from baseline as assessed by the anthropometric index of waist-to-hip ratio.; &#8226; Change in coronary ri","Effect of Synbiotic 365 on Body Composition in Overweight and Obese Individuals  Rice Hulk; Synbiotic365 Ver 5; Synbiotic365 Ver 7 Change in body mass index (BMI) and the percentage of body fat f &#8226; Total body weight change in comparison to placebo on day 28, 56 and 84, from baseline, as assessed by weighing scale method.; &#8226; Change in central obesity in comparison to placebo on day 28, 56 and 84, from baseline as assessed by the anthropometric index of waist-to-hip ratio.; &#8226; Change in coronary ri","Effect of Synbiotic 365 on Body Composition in Overweight and Obese Individuals  Rice Hulk; Synbiotic365 Ver 5; Synbiotic365 Ver 7 Change in body mass index (BMI) and the percentage of body fat f &#8226; Total body weight change in comparison to placebo on day 28, 56 and 84, from baseline, as assessed by weighing scale method.; &#8226; Change in central obesity in comparison to placebo on day 28, 56 and 84, from baseline as assessed by the anthropometric index of waist-to-hip ratio.; &#8226; Change in coronary ri","Effect of Synbiotic 365 on Body Composition in Overweight and Obese Individuals  Rice Hulk; Synbiotic365 Ver 5; Synbiotic365 Ver 7 Change in body mass index (BMI) and the percentage of body fat f &#8226; Total body weight change in comparison to placebo on day 28, 56 and 84, from baseline, as assessed by weighing scale method.; &#8226; Change in central obesity in comparison to placebo on day 28, 56 and 84, from baseline as assessed by the anthropometric index of waist-to-hip ratio.; &#8226; Change in coronary ri","Effect of Synbiotic 365 on Body Composition in Overweight and Obese Individuals  Rice Hulk; Synbiotic365 Ver 5; Synbiotic365 Ver 7 Change in body mass index (BMI) and the percentage of body fat f &#8226; Total body weight change in comparison to placebo on day 28, 56 and 84, from baseline, as assessed by weighing scale method.; &#8226; Change in central obesity in comparison to placebo on day 28, 56 and 84, from baseline as assessed by the anthropometric index of waist-to-hip ratio.; &#8226; Change in coronary ri",,,Review source text before entering numeric values into final tables.
NCT:NCT04642482,ClinicalTrials.gov,NCT04642482,Synbiotic Therapy on Intestinal Microbiota and Insulin Resistance in Obesity,16,,,,,,Synbiotic (Rillus); Placebo,Homeostatic Model Assessment for Insulin Resistance (HOMA-IR),,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT02893943,ClinicalTrials.gov,NCT02893943,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals,30,,,,,,Probiotics; Placebo,Body weight,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals  Probiotics; Placebo Body weight Body mass index; Body fat percentage; Waist circumference; Hip circumference; Total fat mass; Total lean mass; Gut microbiome; Blood pressure; Blood total cholesterol; Blood low-density lipoprotein cholesterol; Blood high-density lipoprotein cholesterol; Blood triglycerides; Blood glucose; Blood insulin; Aspartate aminotransferase; Alanine transaminase Probiotics; Plac,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals  Probiotics; Placebo Body weight Body mass index; Body fat percentage; Waist circumference; Hip circumference; Total fat mass; Total lean mass; Gut microbiome; Blood pressure; Blood total cholesterol; Blood low-density lipoprotein cholesterol; Blood high-density lipoprotein cholesterol; Blood triglycerides; Blood glucose; Blood insulin; Aspartate aminotransferase; Alanine transaminase Probiotics; Plac,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals  Probiotics; Placebo Body weight Body mass index; Body fat percentage; Waist circumference; Hip circumference; Total fat mass; Total lean mass; Gut microbiome; Blood pressure; Blood total cholesterol; Blood low-density lipoprotein cholesterol; Blood high-density lipoprotein cholesterol; Blood triglycerides; Blood glucose; Blood insulin; Aspartate aminotransferase; Alanine transaminase Probiotics; Plac,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals  Probiotics; Placebo Body weight Body mass index; Body fat percentage; Waist circumference; Hip circumference; Total fat mass; Total lean mass; Gut microbiome; Blood pressure; Blood total cholesterol; Blood low-density lipoprotein cholesterol; Blood high-density lipoprotein cholesterol; Blood triglycerides; Blood glucose; Blood insulin; Aspartate aminotransferase; Alanine transaminase Probiotics; Plac,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals  Probiotics; Placebo Body weight Body mass index; Body fat percentage; Waist circumference; Hip circumference; Total fat mass; Total lean mass; Gut microbiome; Blood pressure; Blood total cholesterol; Blood low-density lipoprotein cholesterol; Blood high-density lipoprotein cholesterol; Blood triglycerides; Blood glucose; Blood insulin; Aspartate aminotransferase; Alanine transaminase Probiotics; Plac,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals  Probiotics; Placebo Body weight Body mass index; Body fat percentage; Waist circumference; Hip circumference; Total fat mass; Total lean mass; Gut microbiome; Blood pressure; Blood total cholesterol; Blood low-density lipoprotein cholesterol; Blood high-density lipoprotein cholesterol; Blood triglycerides; Blood glucose; Blood insulin; Aspartate aminotransferase; Alanine transaminase Probiotics; Plac,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals  Probiotics; Placebo Body weight Body mass index; Body fat percentage; Waist circumference; Hip circumference; Total fat mass; Total lean mass; Gut microbiome; Blood pressure; Blood total cholesterol; Blood low-density lipoprotein cholesterol; Blood high-density lipoprotein cholesterol; Blood triglycerides; Blood glucose; Blood insulin; Aspartate aminotransferase; Alanine transaminase Probiotics; Plac,Review source text before entering numeric values into final tables.
NCT:NCT05423015,ClinicalTrials.gov,NCT05423015,Assessment of the Effects of Synbiotic on Gut Microbiota Composition in Scholars With Overweight,37,,,,,,Lactobacillus casei strain Shirota; Lactobacillus casei strain Shirota plus inulin; Lactobacillus casei strain Shirota plus fructans from A. salmiana,"Gut bacteria associated with changes of the intervention group; Effect of probiotic and synbiotic products intervention on the BMI z-score; Effect of probiotic and synbiotic products intervention on the fat percentage; Effect of probiotic and synbiotic products intervention on waist and neck circunference; Effect of probiotic and synbiotic products intervention on glucose, triglycerides and cholesterol serum levels",,,,,,,,Review source text before entering numeric values into final tables.
PMID:28792488,PubMed,28792488,Effect of Lactobacillus on body weight and body fat in overweight subjects: a systematic review of randomized controlled clinical trials.,,,,,,,,,Modulation of gut microbiota by probiotics may result in weight loss and thus help in obesity treatment.,,,"Of these nine showed decreased body weight and/or body fat, three did not find effect and two showed weight gain.",,,Modulation of gut microbiota by probiotics may result in weight loss and thus help in obesity treatment.,Review source text before entering numeric values into final tables.
PMID:27810310,PubMed,27810310,"Probiotic With or Without Fiber Controls Body Fat Mass, Associated With Serum Zonulin, in Overweight and Obese Adults-Randomized Controlled Trial.",n=209; n=134; N=37; N=35; N=24,6months,,12g,BMI 28-34.9,P=0.02; P=0.28; P=0.095; P=0.002,,,"However, LU+B420 and B420 seemed to improve weight management in the PP population.",,"B420 and LU+B420 also reduced waist circumference and food intake, whereas LU alone had no effect on the measured outcomes.",There were no significant differences between groups in body fat mass in the ITT population.,,,,Review source text before entering numeric values into final tables.
NCT:NCT02217579,ClinicalTrials.gov,NCT02217579,Effect of Protein and Prebiotic Fiber Intake on Adiposity in Overweight and Obese Adults,132,12 weeks,,,,,Protein; Prebiotic fiber; Protein plus prebiotic fiber; Control,Change in baseline fat mass at 12 weeks,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT01004120,ClinicalTrials.gov,NCT01004120,Efficacy of a Prebiotic Galactooligosaccharide to Reduce Metabolic Syndrome Risk Factors in Overweight Adults,48,,,,,,Bimuno; Maltodextrin,"Faecal microbiota changes enumerated by Fluorescent In Situ Hybridisation and qualitatively assessed by Denaturing Gradient Gel Electrophoresis.; Lipid profile (total, LDL and HDL cholesterol, triglycerides and non-esterified fatty acids); Inflammatory/thrombotic biomarkers (including C-reactive protein, TNF-a, IL6, IL-8, IL-10, sCD40L, sP-selectin, t-PA)","Efficacy of a Prebiotic Galactooligosaccharide to Reduce Metabolic Syndrome Risk Factors in Overweight Adults  Bimuno; Maltodextrin Faecal microbiota changes enumerated by Fluorescent In Situ Hybridisation and qualitatively assessed by Denaturing Gradient Gel Electrophoresis.; Lipid profile (total, LDL and HDL cholesterol, triglycerides and non-esterified fatty acids); Inflammatory/thrombotic biomarkers (including C-reactive protein, TNF-a, IL6, IL-8, IL-10, sCD40L, sP-selectin, t-PA) Insulin re",,,,"Efficacy of a Prebiotic Galactooligosaccharide to Reduce Metabolic Syndrome Risk Factors in Overweight Adults  Bimuno; Maltodextrin Faecal microbiota changes enumerated by Fluorescent In Situ Hybridisation and qualitatively assessed by Denaturing Gradient Gel Electrophoresis.; Lipid profile (total, LDL and HDL cholesterol, triglycerides and non-esterified fatty acids); Inflammatory/thrombotic biomarkers (including C-reactive protein, TNF-a, IL6, IL-8, IL-10, sCD40L, sP-selectin, t-PA) Insulin re","Efficacy of a Prebiotic Galactooligosaccharide to Reduce Metabolic Syndrome Risk Factors in Overweight Adults  Bimuno; Maltodextrin Faecal microbiota changes enumerated by Fluorescent In Situ Hybridisation and qualitatively assessed by Denaturing Gradient Gel Electrophoresis.; Lipid profile (total, LDL and HDL cholesterol, triglycerides and non-esterified fatty acids); Inflammatory/thrombotic biomarkers (including C-reactive protein, TNF-a, IL6, IL-8, IL-10, sCD40L, sP-selectin, t-PA) Insulin re","Efficacy of a Prebiotic Galactooligosaccharide to Reduce Metabolic Syndrome Risk Factors in Overweight Adults  Bimuno; Maltodextrin Faecal microbiota changes enumerated by Fluorescent In Situ Hybridisation and qualitatively assessed by Denaturing Gradient Gel Electrophoresis.; Lipid profile (total, LDL and HDL cholesterol, triglycerides and non-esterified fatty acids); Inflammatory/thrombotic biomarkers (including C-reactive protein, TNF-a, IL6, IL-8, IL-10, sCD40L, sP-selectin, t-PA) Insulin re",Review source text before entering numeric values into final tables.
NCT:NCT07593170,ClinicalTrials.gov,NCT07593170,AKK Study in Improving Obesity and Metabolic Status in Children and Adolescents,100,,,,,,AKK; Placebo (maltodextrin),Z - score,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT07559227,ClinicalTrials.gov,NCT07559227,"Gut, Immune, and Vascular Health in Metabolically Healthy Obesity",70,,,,,,Inulin Supplementation; Maltodextrin (Placebo); High-fat meal,Serum lipopolysaccharide binding protein; Serum interleukin-6; Flow-mediated dilation; Serum C reactive protein; Serum lipopolysaccharide; Serum TNF-alpha; Serum zonulin,,,,,,,,Review source text before entering numeric values into final tables.
EUROPEPMC:41921070,PubMed,41921070,Anti-obesity effects of probiotics beyond BMI: a critical review of human clinical trials.,,,,,,,,,The increasing prevalence of obesity worldwide has highlighted the need for adjunct strategies targeting metabolic dysfunction beyond simple weight reduction.,"This review aimed to evaluate the hypothesis that the anti-obesity effects of probiotics are mediated through modifications in fat distribution, metabolic inflammation, and appetite regulation rather than reductions in body weight or body mass index (BMI).","The evidence indicates that probiotic strains, particularly Lactobacillus gasseri and Bifidobacterium breve, are consistently associated with reductions in visceral fat, total body fat, waist circumference (WC), and body fat percentage, while effects on body weight and BMI remain modest.","The evidence indicates that probiotic strains, particularly Lactobacillus gasseri and Bifidobacterium breve, are consistently associated with reductions in visceral fat, total body fat, waist circumference (WC), and body fat percentage, while effects on body weight and BMI remain modest.","plantarum Inducia were also linked to improvements in lipid metabolism, glucose homeostasis, inflammatory markers, and appetite regulation.","plantarum Inducia were also linked to improvements in lipid metabolism, glucose homeostasis, inflammatory markers, and appetite regulation.",,Review source text before entering numeric values into final tables.
