evidence_id,source_database,source_accession,doi,pmid,title,year,evidence_type,priority,relevance_score,study_tag,intervention_type_hint,taxa_hint,outcome_hint,needs_manual_review,source_url
PMID:42044842,PubMed,42044842,10.1016/j.clnesp.2026.103306,42044842,"The effect of a two-week low glycaemic index, higher fibre diet versus high glycaemic index diet on body composition, ectopic lipids, inflammatory biomarkers, gastrointestinal hormones and gut microbiota in metabolic dysfunction-associated steatotic liver disease (MASLD): A pilot randomized cross-over study.",2026,literature,high,3,randomized_controlled_trial,,,body_composition;lipid;glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/42044842/
PMID:41861447,PubMed,41861447,10.1016/j.clnu.2026.106618,41861447,"Effects of hypocaloric wholegrain rye vs refined wheat diets on weight loss, cardiometabolic risk factors and gut microbiota: A 12-week randomized controlled trial.",2026,literature,high,3,randomized_controlled_trial,,,weight;glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41861447/
NCT:NCT07073781,ClinicalTrials.gov,NCT07073781,,,"Probiotic Impact on Cognitive Performance, and Metabolic Outcomes in Overweight Young Adults With Impaired Glucose Regulation",2025,clinical_trial,high,3,clinical_trial_registry,probiotic,,weight;glucose,true,https://clinicaltrials.gov/study/NCT07073781
EUROPEPMC:40400804,PubMed,40400804,10.7759/cureus.82613,40400804,"Impact of a Probiotic-Fiber Blend on Body Weight, Metabolic Regulation, and Digestive Function in Obese Adults: A Randomized, Placebo-Controlled, Multicentric Trial.",2025,literature,high,3,randomized_controlled_trial,probiotic,,weight;glucose,true,https://europepmc.org/article/MED/40400804
EUROPEPMC:41126806,PubMed,41126806,10.1016/j.crfs.2025.101215,41126806,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial.,2025,literature,high,3,randomized_controlled_trial,probiotic,,weight;lipid,true,https://europepmc.org/article/MED/41126806
EUROPEPMC:40735396,PubMed,40735396,10.1002/fsn3.70434,40735396,"The Effects of Probiotics Consumption on Blood Pressure, Lipid Profile, Glycemic Indices, and Inflammatory Parameters in Overweight and Obese Adults: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.",2025,literature,high,3,meta_analysis_or_systematic_review,probiotic,,weight;lipid,true,https://europepmc.org/article/MED/40735396
EUROPEPMC:40416368,PubMed,40416368,10.3389/fnut.2025.1542145,40416368,"Effect of <i>Bacillus coagulans</i> BC99 supplementation on body weight and gut microbiota in overweight and obese individual: a randomized, double-blind, placebo-controlled study.",2025,literature,high,3,randomized_controlled_trial,,Bacillus,weight;microbiome,true,https://europepmc.org/article/MED/40416368
PMID:41659802,PubMed,41659802,10.3389/fnut.2025.1686416,41659802,Effects of modified fasting therapy on tongue coating and gut microbiome in overweight and obese adults: a controlled clinical trial.,2025,literature,high,3,needs_manual_classification,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41659802/
PMID:40598275,PubMed,40598275,10.1186/s12916-025-04189-6,40598275,"Differential effects of inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolism in overweight/obese and healthy individuals: a randomized, double-blind clinical trial.",2025,literature,high,3,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/40598275/
PMID:40451504,PubMed,40451504,10.1016/j.clnesp.2025.05.045,40451504,"Comparing the effects of yogurt containing Akkermansia muciniphilia postbiotic with yogurt containing Lactobacillus rhamnosus postbiotic on body composition, biochemical indices, appetite, and depression scores in overweight or obese adults: A randomized, double-blind, controlled clinical trial.",2025,literature,high,3,randomized_controlled_trial,postbiotic,Lactobacillus;Akkermansia,weight;body_composition,true,https://pubmed.ncbi.nlm.nih.gov/40451504/
PMID:40375569,PubMed,40375569,10.1017/S0007114525000923,40375569,"Mental health and health-related quality of life response to curcumin-probiotic drink powder co-supplementation in adults with overweight/obesity and metabolic syndrome: a four-arm randomised, double-blind, placebo-controlled, clinical trial.",2025,literature,high,3,randomized_controlled_trial,probiotic,,weight;glucose,true,https://pubmed.ncbi.nlm.nih.gov/40375569/
PMID:40573158,PubMed,40573158,10.3390/nu17122047,40573158,Modulation of Gut Microbiota by Whole Encapsulated Brown Seaweed (Himanthalia elongata) in Overweight Subjects: A Randomized Double-Blind Placebo-Controlled Trial.,2025,literature,high,3,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/40573158/
PMID:40106235,PubMed,40106235,10.1089/chi.2024.0344,40106235,Childhood Obesity Body Mass Index and Gut Microbiome: A Cluster Randomized Controlled Pilot Feasibility Study.,2025,literature,high,3,randomized_controlled_trial,,,BMI;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/40106235/
PMID:41321998,PubMed,41321998,10.1016/j.csbj.2025.11.021,41321998,Gut microbiome enterotypes and temporal variations during a six-month inulin-supplemented weight loss randomized controlled trial in Thai children with obesity.,2025,literature,high,3,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41321998/
PMID:40385498,PubMed,40385498,10.1007/s40200-025-01632-6,40385498,"Effects of multi-strain synbiotic supplementation on liver enzymes, insulin resistance, anthropometric, and inflammatory indices in overweight and obese adults with fatty liver and diabetes: a randomized controlled trial.",2025,literature,high,3,randomized_controlled_trial,synbiotic,,weight;glucose,true,https://pubmed.ncbi.nlm.nih.gov/40385498/
PMID:39051504,PubMed,39051504,10.1039/d4fo00535j,39051504,"Bifidobacterium lactis IDCC 4301 (B. lactis Fit™) supplementation effects on body fat, serum triglyceride, and adipokine ratio in obese women: a randomized clinical trial.",2024,literature,high,3,randomized_controlled_trial,,Bifidobacterium,body_composition;lipid,true,https://pubmed.ncbi.nlm.nih.gov/39051504/
PMID:38999741,PubMed,38999741,10.3390/nu16131993,38999741,"The Effect of the Lacticaseibacillus paracasei BEPC22 and Lactiplantibacillus plantarum BELP53 Combination (BN-202M) on Body Fat Percentage Loss in Overweight Individuals: A Randomized, Double-Blind, Placebo-Controlled Study.",2024,literature,high,3,randomized_controlled_trial,,Lacticaseibacillus;Lactiplantibacillus,weight;body_composition,true,https://pubmed.ncbi.nlm.nih.gov/38999741/
PMID:38542727,PubMed,38542727,10.3390/nu16060815,38542727,Effects of Bifidobacterium longum BB536 and Bifidobacterium breve MCC1274 on Body Composition in Normal and Overweight Adults in Randomized Placebo-Controlled Study.,2024,literature,high,3,randomized_controlled_trial,,Bifidobacterium,weight;body_composition,true,https://pubmed.ncbi.nlm.nih.gov/38542727/
PMID:39456659,PubMed,39456659,10.3390/ijms252010871,39456659,Gut Microbiome and Metabolome Alterations in Overweight or Obese Adult Population after Weight-Loss Bifidobacterium breve BBr60 Intervention: A Randomized Controlled Trial.,2024,literature,high,3,randomized_controlled_trial,,Bifidobacterium,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/39456659/
PMID:39639405,PubMed,39639405,10.1186/s13102-024-01029-7,39639405,Gut microbiota and metabolic responses to a 12-week caloric restriction combined with strength and HIIT training in patients with obesity: a randomized trial.,2024,literature,high,3,randomized_controlled_trial,,,glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/39639405/
PMID:39415279,PubMed,39415279,10.1186/s12986-024-00851-7,39415279,"Effect of Sinetrol(®) Xpur on metabolic health and adiposity by interactions with gut microbiota: a randomized, open label, dose-response clinical trial.",2024,literature,high,3,randomized_controlled_trial,,,glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/39415279/
PMID:38926901,PubMed,38926901,10.1186/s13063-024-08221-7,38926901,"Effects of whole-body vibration on body composition, microbiota, cardiometabolic markers, physical fitness, and quality of life after bariatric surgery: protocol for a randomized controlled trial.",2024,literature,high,3,randomized_controlled_trial,,,body_composition;glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/38926901/
PMID:38419068,PubMed,38419068,10.1186/s13063-024-07996-z,38419068,"Effects of a chronotype-adapted diet on weight loss, cardiometabolic health, and gut microbiota: study protocol for a randomized controlled trial.",2024,literature,high,3,randomized_controlled_trial,,,weight;glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/38419068/
PMID:38393021,PubMed,38393021,10.3390/metabo14020129,38393021,The Efficacy of Lactobacillus delbrueckii ssp. bulgaricus Supplementation in Managing Body Weight and Blood Lipids of People with Overweight: A Randomized Pilot Trial.,2024,literature,high,3,randomized_controlled_trial,,Lactobacillus,weight;lipid,true,https://pubmed.ncbi.nlm.nih.gov/38393021/
EUROPEPMC:37836532,PubMed,37836532,10.3390/nu15194248,37836532,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.,2023,literature,high,3,randomized_controlled_trial,synbiotic,,weight;glucose,true,https://europepmc.org/article/MED/37836532
PMID:37424169,PubMed,37424169,10.1002/oby.23801,37424169,Effect of synbiotics on weight loss and metabolic health in adults with overweight and obesity: A randomized controlled trial.,2023,literature,high,3,randomized_controlled_trial,synbiotic,,weight;glucose,true,https://pubmed.ncbi.nlm.nih.gov/37424169/
PMID:36606510,PubMed,36606510,10.1002/edm2.402,36606510,"A clinical trial about effects of prebiotic and probiotic supplementation on weight loss, psychological profile and metabolic parameters in obese subjects.",2023,literature,high,3,needs_manual_classification,probiotic;prebiotic,,weight;glucose,true,https://pubmed.ncbi.nlm.nih.gov/36606510/
PMID:37084470,PubMed,37084470,10.1016/j.clnu.2023.03.017,37084470,Randomized controlled trials reporting the effects of probiotics in individuals with overweight and obesity: A critical review of the interventions and body adiposity parameters.,2023,literature,high,3,randomized_controlled_trial,probiotic,,weight,true,https://pubmed.ncbi.nlm.nih.gov/37084470/
PMID:36793105,PubMed,36793105,10.1186/s13063-023-07115-4,36793105,"Design of the Building Research in CRC prevention (BRIDGE-CRC) trial: a 6-month, parallel group Mediterranean diet and weight loss randomized controlled lifestyle intervention targeting the bile acid-gut microbiome axis to reduce colorectal cancer risk among African American/Black adults with obesity.",2023,literature,high,3,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/36793105/
PMID:36484872,PubMed,36484872,10.1007/s12519-022-00664-9,36484872,"Effects of synbiotic supplementation on anthropometric indices and body composition in overweight or obese children and adolescents: a randomized, double-blind, placebo-controlled clinical trial.",2023,literature,high,3,randomized_controlled_trial,synbiotic,,weight;body_composition,true,https://pubmed.ncbi.nlm.nih.gov/36484872/
PMID:35487505,PubMed,35487505,10.4093/dmj.2021.0370,35487505,"Effect of Lactobacillus plantarum LMT1-48 on Body Fat in Overweight Subjects: A Randomized, Double-Blind, Placebo-Controlled Trial.",2023,literature,high,3,randomized_controlled_trial,,Lactobacillus,weight;body_composition,true,https://pubmed.ncbi.nlm.nih.gov/35487505/
PMID:36634870,PubMed,36634870,10.1016/j.jand.2023.01.006,36634870,"The Effect of Microbiome Therapies on Waist Circumference, a Measure of Central Obesity, in Patients with Type 2 Diabetes: A Systematic Review and Meta-analysis of Randomized Controlled Trials.",2023,literature,high,3,meta_analysis_or_systematic_review,,,waist;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/36634870/
PMID:37580231,PubMed,37580231,10.1016/j.numecd.2023.07.030,37580231,"No effect of multi-strain probiotic supplementation on metabolic and inflammatory markers and newborn body composition in pregnant women with obesity: Results from a randomized, double-blind placebo-controlled study.",2023,literature,high,3,randomized_controlled_trial,probiotic,,body_composition;glucose,true,https://pubmed.ncbi.nlm.nih.gov/37580231/
NCT:NCT05623007,ClinicalTrials.gov,NCT05623007,,,Dietary Modulation of Gut Microbiota in Overweight/Obese Adolescents and COVID-19 Infection,2022,clinical_trial,high,3,clinical_trial_registry,,,weight;microbiome,true,https://clinicaltrials.gov/study/NCT05623007
PMID:36352899,PubMed,36352899,10.3389/fnut.2022.1007506,36352899,Effect of garlic extract on weight loss and gut microbiota composition in obese women: A double-blind randomized controlled trial.,2022,literature,high,3,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/36352899/
PMID:34444671,PubMed,34444671,10.3390/nu13082512,34444671,"Effects of 60-Day Saccharomyces boulardii and Superoxide Dismutase Supplementation on Body Composition, Hunger Sensation, Pro/Antioxidant Ratio, Inflammation and Hormonal Lipo-Metabolic Biomarkers in Obese Adults: A Double-Blind, Placebo-Controlled Trial.",2021,literature,high,3,randomized_controlled_trial,,Saccharomyces,body_composition;glucose,true,https://pubmed.ncbi.nlm.nih.gov/34444671/
