evidence_id,source_database,source_accession,source_url,title,abstract,publication_types,clinical_interventions,enrollment,phase,primary_outcomes,secondary_outcomes,arms,detail_status
PMID:40409234,EuropePMC,40409234,https://europepmc.org/abstract/MED/40409234,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and excess body weight," Background & aims Recent evidence suggests that gut microbiota has a potential role in the pathophysiology of obesity and other cardiovascular disease (CVD) risk factors, including hypertension, dyslipidemia, and type 2 diabetes. However, clinical trials evaluating the effects of probiotics supplementation on these outcomes have found inconsistent results, probably due to the wide heterogeneity in trial designs. In addition, there is a lack of studies investigating whether probiotics can enhance the beneficial effects of caloric restriction in individuals with increased risk of CVD as individuals with hypertension and excess body adiposity. Thus, the aim of this study was to evaluate the effects of multi-strain probiotics supplementation on body adiposity, glycemic homeostasis, lipid profile, and serum adipokine levels in individuals with hypertension and excess body weight following an energy restricted diet. Methods A randomized, double-blind, placebo controlled clinical trial was conducted for 12 weeks. Were included 66 individuals aged between 40 and 65 years; both sexes; body mass index (BMI) ≥ 25 and  2  and diagnosis of hypertension. Were excluded smokers; individuals using probiotics, prebiotics, symbiotics and antibiotics in the last 3 months; presenting diabetes, chronic kidney disease or liver failure; and pregnant and lactating women. Participants were allocated into 2 groups: group with supplementation of 8 probiotic strains in capsules (3 × 10 10  CFU/day) or c",randomized controlled trial,,66,,,,,abstract_enrollment_confirmed_per_arm_n_paywalled
PMID:41512635,EuropePMC,41512635,https://europepmc.org/abstract/MED/41512635,Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults," Background and aims Emerging evidence highlight the gut microbiome as an important regulator of metabolic health, with probiotics and prebiotics demonstrating exciting potential for their role in health promotion. This study aims to investigate a novel synbiotic formulation comprising four probiotic strains (Bifidobacterium animalis subsp. lactis CECT 8145, and three Lacticaseibacillus rhamnosus strains), prebiotics (inulin, fructooligosaccharides), and Chrysanthemum morifolium extract. We hypothesized that this intervention would improve metabolic health parameters, particularly visceral adiposity. Methods In a 12-week, double-blind, randomized, placebo-controlled, parallel-group trial with a 6-week post-intervention follow-up, 112 participants (BMI: 24.0-34.9 kg/m 2 ) received daily synbiotic or a matched placebo. Changes in visceral adipose tissue (VAT) area, serving as the primary endpoint, were quantified by dual-energy X-ray absorptiometry (DXA). Secondary outcomes included analysis of blood biochemical parameters, body composition, and fecal microbiota characterization. Results Compared with placebo, synbiotic supplementation significantly reduced VAT area from baseline to week 12 (p = 0.048). In subgroup analyses by gender and BMI, the effect was more pronounced in men than in women (p = 0.051) and was highly significant in individuals with 24 ≤ BMI  Conclusions This synbiotic formulation reduced visceral fat, a key driver of metabolic dysfunction, and modulated adip",randomized controlled trial,,112,,,,,abstract_enrollment_confirmed_per_arm_n_paywalled
