run_accession,sample_accession,sample_alias,sample_serial,fastq_ftp,fastq_bytes,collection_date
ERR13915587,SAMEA116333317,2023_0029_0167,0167,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/087/ERR13915587/ERR13915587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/087/ERR13915587/ERR13915587_2.fastq.gz,1960252020;2037693665,2023
ERR13915588,SAMEA116333318,2023_0029_0168,0168,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/088/ERR13915588/ERR13915588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/088/ERR13915588/ERR13915588_2.fastq.gz,1552486656;1562806666,2023
ERR13915594,SAMEA116333319,2023_0029_0169,0169,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/094/ERR13915594/ERR13915594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/094/ERR13915594/ERR13915594_2.fastq.gz,2668396236;2794583036,2023
ERR13915596,SAMEA116333321,2023_0029_0171,0171,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/096/ERR13915596/ERR13915596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/096/ERR13915596/ERR13915596_2.fastq.gz,1571383435;1597903983,2023
ERR13915598,SAMEA116333323,2023_0029_0173,0173,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/098/ERR13915598/ERR13915598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/098/ERR13915598/ERR13915598_2.fastq.gz,1567860816;1615347776,2023
ERR13915599,SAMEA116333325,2023_0029_0175,0175,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/099/ERR13915599/ERR13915599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/099/ERR13915599/ERR13915599_2.fastq.gz,2290316809;2400744812,2023
ERR13915601,SAMEA116333326,2023_0029_0176,0176,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/001/ERR13915601/ERR13915601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/001/ERR13915601/ERR13915601_2.fastq.gz,1669781000;1717130805,2023
ERR13915602,SAMEA116333329,2023_0029_0179,0179,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/002/ERR13915602/ERR13915602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/002/ERR13915602/ERR13915602_2.fastq.gz,2428080428;2528894453,2023
ERR13915603,SAMEA116333330,2023_0029_0180,0180,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/003/ERR13915603/ERR13915603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/003/ERR13915603/ERR13915603_2.fastq.gz,1752381792;1797461994,2023
ERR13915605,SAMEA116333333,2023_0029_0183,0183,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/005/ERR13915605/ERR13915605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/005/ERR13915605/ERR13915605_2.fastq.gz,1880943632;1927735568,2023
ERR13915606,SAMEA116333335,2023_0029_0185,0185,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/006/ERR13915606/ERR13915606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/006/ERR13915606/ERR13915606_2.fastq.gz,1625542122;1660454481,2023
ERR13915607,SAMEA116333336,2023_0029_0186,0186,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/007/ERR13915607/ERR13915607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/007/ERR13915607/ERR13915607_2.fastq.gz,2524874523;2619826320,2023
ERR13915609,SAMEA116333337,2023_0029_0187,0187,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/009/ERR13915609/ERR13915609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/009/ERR13915609/ERR13915609_2.fastq.gz,1712854706;1742850976,2023
ERR13915610,SAMEA116333338,2023_0029_0188,0188,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/010/ERR13915610/ERR13915610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/010/ERR13915610/ERR13915610_2.fastq.gz,1894928515;1919518829,2023
