run_accession,sample_accession,sample_alias,sample_serial,fastq_ftp,fastq_bytes,collection_date
ERR13914731,SAMEA116333182,2023_0027_0032,0032,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/031/ERR13914731/ERR13914731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/031/ERR13914731/ERR13914731_2.fastq.gz,1437947569;1470387953,2023
ERR13914732,SAMEA116333184,2023_0027_0034,0034,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/032/ERR13914732/ERR13914732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/032/ERR13914732/ERR13914732_2.fastq.gz,1209344875;1216209164,2023
ERR13914733,SAMEA116333185,2023_0027_0035,0035,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/033/ERR13914733/ERR13914733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/033/ERR13914733/ERR13914733_2.fastq.gz,1810628015;1850260479,2023
ERR13914735,SAMEA116333187,2023_0027_0037,0037,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/035/ERR13914735/ERR13914735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/035/ERR13914735/ERR13914735_2.fastq.gz,2281559104;2350767317,2023
ERR13914736,SAMEA116333189,2023_0027_0039,0039,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/036/ERR13914736/ERR13914736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/036/ERR13914736/ERR13914736_2.fastq.gz,1418095950;1457191635,2023
ERR13914737,SAMEA116333191,2023_0027_0041,0041,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/037/ERR13914737/ERR13914737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/037/ERR13914737/ERR13914737_2.fastq.gz,1324207772;1330752411,2023
ERR13914739,SAMEA116333192,2023_0027_0042,0042,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/039/ERR13914739/ERR13914739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/039/ERR13914739/ERR13914739_2.fastq.gz,2031472373;2083310766,2023
ERR13914740,SAMEA116333193,2023_0027_0043,0043,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/040/ERR13914740/ERR13914740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/040/ERR13914740/ERR13914740_2.fastq.gz,1697331779;1746621098,2023
ERR13914742,SAMEA116333194,2023_0027_0044,0044,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/042/ERR13914742/ERR13914742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/042/ERR13914742/ERR13914742_2.fastq.gz,1382873004;1402219987,2023
ERR13914743,SAMEA116333202,2023_0027_0052,0052,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/043/ERR13914743/ERR13914743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/043/ERR13914743/ERR13914743_2.fastq.gz,1571391899;1615477599,2023
ERR13914745,SAMEA116333203,2023_0027_0053,0053,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/045/ERR13914745/ERR13914745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/045/ERR13914745/ERR13914745_2.fastq.gz,1516137201;1494979253,2023
ERR13914747,SAMEA116333204,2023_0027_0054,0054,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/047/ERR13914747/ERR13914747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/047/ERR13914747/ERR13914747_2.fastq.gz,1614869780;1653778498,2023
ERR13914748,SAMEA116333205,2023_0027_0055,0055,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/048/ERR13914748/ERR13914748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/048/ERR13914748/ERR13914748_2.fastq.gz,2420163595;2491373753,2023
ERR13914752,SAMEA116333208,2023_0027_0058,0058,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/052/ERR13914752/ERR13914752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/052/ERR13914752/ERR13914752_2.fastq.gz,7442699921;7519684197,2023
ERR13914754,SAMEA116333209,2023_0027_0059,0059,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/054/ERR13914754/ERR13914754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/054/ERR13914754/ERR13914754_2.fastq.gz,2376602797;2422218299,2023
ERR13914756,SAMEA116333210,2023_0027_0060,0060,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/056/ERR13914756/ERR13914756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/056/ERR13914756/ERR13914756_2.fastq.gz,1442273270;1481318185,2023
ERR13914757,SAMEA116333213,2023_0027_0063,0063,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/057/ERR13914757/ERR13914757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/057/ERR13914757/ERR13914757_2.fastq.gz,1710457834;1770827482,2023
ERR13914758,SAMEA116333215,2023_0027_0065,0065,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/058/ERR13914758/ERR13914758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/058/ERR13914758/ERR13914758_2.fastq.gz,2036894731;2073971814,2023
ERR13914760,SAMEA116333218,2023_0028_0068,0068,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/060/ERR13914760/ERR13914760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/060/ERR13914760/ERR13914760_2.fastq.gz,1788660878;1828116685,2023
ERR13914761,SAMEA116333219,2023_0028_0069,0069,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/061/ERR13914761/ERR13914761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/061/ERR13914761/ERR13914761_2.fastq.gz,1759843487;1815987925,2023
ERR13914763,SAMEA116333220,2023_0028_0070,0070,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/063/ERR13914763/ERR13914763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/063/ERR13914763/ERR13914763_2.fastq.gz,1571643331;1598603715,2023
ERR13914764,SAMEA116333221,2023_0028_0071,0071,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/064/ERR13914764/ERR13914764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/064/ERR13914764/ERR13914764_2.fastq.gz,1545684249;1588274615,2023
ERR13914766,SAMEA116333223,2023_0028_0073,0073,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/066/ERR13914766/ERR13914766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/066/ERR13914766/ERR13914766_2.fastq.gz,1863853183;1930664803,2023
ERR13914767,SAMEA116333225,2023_0028_0075,0075,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/067/ERR13914767/ERR13914767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/067/ERR13914767/ERR13914767_2.fastq.gz,1642438603;1685893759,2023
ERR13914769,SAMEA116333226,2023_0028_0076,0076,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/069/ERR13914769/ERR13914769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/069/ERR13914769/ERR13914769_2.fastq.gz,2234616308;2297165703,2023
ERR13914770,SAMEA116333227,2023_0028_0077,0077,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/070/ERR13914770/ERR13914770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/070/ERR13914770/ERR13914770_2.fastq.gz,1537572719;1579599108,2023
ERR13914771,SAMEA116333228,2023_0028_0078,0078,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/071/ERR13914771/ERR13914771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/071/ERR13914771/ERR13914771_2.fastq.gz,1437424494;1470142926,2023
ERR13914773,SAMEA116333229,2023_0028_0079,0079,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/073/ERR13914773/ERR13914773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/073/ERR13914773/ERR13914773_2.fastq.gz,1649997185;1702077917,2023
ERR13914774,SAMEA116333232,2023_0028_0082,0082,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/074/ERR13914774/ERR13914774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/074/ERR13914774/ERR13914774_2.fastq.gz,1577360272;1642447907,2023
ERR13914775,SAMEA116333234,2023_0028_0084,0084,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/075/ERR13914775/ERR13914775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/075/ERR13914775/ERR13914775_2.fastq.gz,1955926196;2021822000,2023
