pmid,year,title,is_open_access,sequencing_accessions,repositories,triage_status,ipd_requirement,host_triage,ena_pairing_verdict,ena_pairing_note
41599863,2026,"Efficacy and Safety of CKDB-322, a Combination of <i>Lactiplantibacillus plantarum</i> Q180 and <i>Phaeodactylum tricornutum</i>, for Reducing Body Fat and Abdominal Adiposity in Overweight Adults.",Y,,Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,human_candidate_review,no_per_subject_reads,only strain genome CP073753 deposited; no per-subject microbiome reads -> not IPD-usable
41978173,2026,Effect of a Synbiotic Combination of 2'-Fucosyllactose and &lt;i&gt;Lactiplantibacillus plantarum Hi188&lt;/i&gt; on Skeletal Growth and Gut Microbial Metabolism in Growing Mice.,Y,,Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,animal_exclude,,
42015200,2026,Sustained-release enteric formulations of Lactiplantibacillus plantarum based on granulation technology: preparation and therapeutic evaluation in acute colitis.,Y,PRJNA1416471,BioProject,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,human_candidate_review,animal_exclude_confirmed,PRJNA1416471: ENA scientific_name=mouse gut metagenome
42190464,2026,"Age, strain, and gut section shape the microbiome of commercial laying hens.",Y,PRJEB109320; PRJEB60928,BioProject; Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,animal_exclude,,
41478267,2026,"Administration route and trial repetition shape the effects of a commercial synbiotic on broiler production performance, cecal microbiota and pathogen colonization.",Y,PRJNA1014358,BioProject,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,animal_exclude,,
41159770,2025,Lactiplantibacillus plantarum Attenuates Diet-Induced Obesity and Insulin Resistance Through Gut Microbiota-Driven PPAR/PI3K-Axis Modulation.,Y,,Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,likely_preclinical_check,,
41377121,2025,Low-calorie diet intervention ameliorates gut microbiota dysbiosis and metabolic changes in obese patients with type 2 diabetes under standard care.,Y,PRJNA1211859,BioProject,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,human_candidate_review,human_paired_IPD_ready,PRJNA1211859: 19/20 subjects w0+w6+w12 paired; 15 interv/5 ctrl; DIET not probiotic -> methodology pilot
