species,mean_abs_shap,abundance_shap_corr,direction
Bifidobacterium_catenulatum,0.021968578151707097,-0.6271315204594753,higher_abundance_lowers_obesity
Bacteroides_massiliensis,0.021650036981227642,-0.6686132501686635,higher_abundance_lowers_obesity
Clostridium_sp_CAG_242,0.02072608144419246,-0.8979761518880165,higher_abundance_lowers_obesity
Rothia_mucilaginosa,0.02071101541303385,-0.9088217786234203,higher_abundance_lowers_obesity
Firmicutes_bacterium_CAG_110,0.02066672201118389,-0.38612675778118355,higher_abundance_lowers_obesity
Bacteroides_vulgatus,0.020547929668311635,0.40049205239884783,higher_abundance_raises_obesity
Bacteroides_fragilis,0.020270608127649997,0.5279612284846235,higher_abundance_raises_obesity
Dorea_longicatena,0.019440073140100024,0.6439275056332593,higher_abundance_raises_obesity
Bifidobacterium_pseudocatenulatum,0.01880100200962019,-0.7859553141335971,higher_abundance_lowers_obesity
Clostridium_disporicum,0.018760041286627418,0.7972951976441485,higher_abundance_raises_obesity
Streptococcus_thermophilus,0.017927738389870454,0.5609539934152104,higher_abundance_raises_obesity
Clostridium_bolteae_CAG_59,0.017821267195523235,0.8829301257903712,higher_abundance_raises_obesity
Eubacterium_rectale,0.017732404957943985,0.8340896831102708,higher_abundance_raises_obesity
Firmicutes_bacterium_CAG_83,0.017650846267728493,0.7772625095109529,higher_abundance_raises_obesity
Dielma_fastidiosa,0.01748801616705229,0.8445132964809378,higher_abundance_raises_obesity
Firmicutes_bacterium_CAG_95,0.017472261500289004,-0.7806884935631512,higher_abundance_lowers_obesity
Alistipes_finegoldii,0.017188740685820898,-0.32630257911846067,higher_abundance_lowers_obesity
Lactococcus_lactis,0.01687190811160685,0.749905003232331,higher_abundance_raises_obesity
Bacteroides_stercoris,0.01676949640334679,-0.5421112071502484,higher_abundance_lowers_obesity
Clostridium_saccharolyticum,0.016635074574131898,0.8732188800063005,higher_abundance_raises_obesity
Anaeromassilibacillus_sp_An250,0.016489872797262276,0.8267948841636551,higher_abundance_raises_obesity
Phascolarctobacterium_sp_CAG_266,0.01633080561401044,0.885793482998488,higher_abundance_raises_obesity
Romboutsia_ilealis,0.015361251510357084,0.7364598504095649,higher_abundance_raises_obesity
Fretibacterium_fastidiosum,0.015151999751406874,0.9145053288001174,higher_abundance_raises_obesity
Ruminococcus_bicirculans,0.015040042000960428,0.6533922621925914,higher_abundance_raises_obesity
Turicimonas_muris,0.014506039611546917,0.8774302089401292,higher_abundance_raises_obesity
Alistipes_inops,0.014101311674257641,0.8727320674764995,higher_abundance_raises_obesity
Alistipes_putredinis,0.013872934898701492,-0.2573886625439142,higher_abundance_lowers_obesity
Bacteroides_caccae,0.013809962371821975,-0.5830231534435131,higher_abundance_lowers_obesity
Pseudoflavonifractor_sp_An184,0.013765595476528133,0.8790601126778423,higher_abundance_raises_obesity
Bacteroides_dorei,0.013093424278990193,-0.16064245490959253,higher_abundance_lowers_obesity
Clostridium_spiroforme,0.013026428798947179,-0.6435882782125553,higher_abundance_lowers_obesity
Coprobacillus_cateniformis,0.012703981324317593,0.6991107977744924,higher_abundance_raises_obesity
Butyricimonas_virosa,0.012309261645834638,0.8356102294624196,higher_abundance_raises_obesity
Bacteroides_uniformis,0.012178676762144843,0.36563889142914374,higher_abundance_raises_obesity
Bacteroides_ovatus,0.012053516273744042,-0.5799789846563677,higher_abundance_lowers_obesity
Enorma_massiliensis,0.011953140150506643,-0.7942099815440289,higher_abundance_lowers_obesity
Ruminococcus_gnavus,0.011909853195000729,-0.8129828826298101,higher_abundance_lowers_obesity
Dorea_formicigenerans,0.01162293675470106,-0.04663828776142221,higher_abundance_lowers_obesity
Lachnospira_pectinoschiza,0.011324056455288478,0.47696381891217465,higher_abundance_raises_obesity
Lactobacillus_rogosae,0.011074926200542753,0.4026175204626071,higher_abundance_raises_obesity
Eubacterium_ventriosum,0.011059036516017381,0.5113122846919506,higher_abundance_raises_obesity
Firmicutes_bacterium_CAG_170,0.010647142464540573,0.37690998013622173,higher_abundance_raises_obesity
Ruminococcaceae_bacterium_D16,0.0105648709187867,0.5124025762141797,higher_abundance_raises_obesity
Roseburia_sp_CAG_309,0.010099534006268738,-0.5416089996541684,higher_abundance_lowers_obesity
Klebsiella_pneumoniae,0.009909984173638252,-0.7772457793648019,higher_abundance_lowers_obesity
Clostridium_leptum,0.0097172120733185,0.7118614030850129,higher_abundance_raises_obesity
Erysipelatoclostridium_ramosum,0.009159180027818908,-0.5697992240279058,higher_abundance_lowers_obesity
Actinomyces_sp_ICM47,0.008422485668493513,0.5221242520642404,higher_abundance_raises_obesity
Bacteroides_thetaiotaomicron,0.008404792040032402,-0.12519622157779436,higher_abundance_lowers_obesity
Bacteroides_galacturonicus,0.00838715291631968,-0.5965268194256109,higher_abundance_lowers_obesity
Victivallis_vadensis,0.00838606145030344,-0.6324450064074354,higher_abundance_lowers_obesity
Coprococcus_eutactus,0.008379842030054954,-0.8189225014783073,higher_abundance_lowers_obesity
Parasutterella_excrementihominis,0.00832203792829222,-0.32523258992469467,higher_abundance_lowers_obesity
Butyricimonas_synergistica,0.008144945000847375,0.7803343736247141,higher_abundance_raises_obesity
Lactobacillus_ruminis,0.007779646102310552,0.8705973762142645,higher_abundance_raises_obesity
Collinsella_intestinalis,0.007489957519732298,0.2982817820213263,higher_abundance_raises_obesity
Parabacteroides_merdae,0.007442680682619142,-0.28312278767385846,higher_abundance_lowers_obesity
Prevotella_sp_CAG_279,0.007353738267339871,-0.03680516512305854,higher_abundance_lowers_obesity
Parabacteroides_johnsonii,0.007246323939910983,0.6581819327618058,higher_abundance_raises_obesity
Escherichia_coli,0.006998014919692609,-0.07316361150607753,higher_abundance_lowers_obesity
Clostridium_aldenense,0.006943774576720328,-0.6335904926632637,higher_abundance_lowers_obesity
Eisenbergiella_tayi,0.006851236135033403,0.7310507057978609,higher_abundance_raises_obesity
Odoribacter_splanchnicus,0.0067287102858454495,-0.12146158785186158,higher_abundance_lowers_obesity
Paraprevotella_clara,0.006225965749822148,-0.38682997809545955,higher_abundance_lowers_obesity
Butyrivibrio_crossotus,0.006052190903427526,-0.6876842255250538,higher_abundance_lowers_obesity
Barnesiella_intestinihominis,0.006026429142387016,0.14898697941372385,higher_abundance_raises_obesity
Bacteroides_cellulosilyticus,0.005959062580621714,-0.20624938948591048,higher_abundance_lowers_obesity
Desulfovibrio_piger,0.005869217899213775,-0.4580507776365336,higher_abundance_lowers_obesity
Mogibacterium_diversum,0.005818148284559143,-0.8823695655090613,higher_abundance_lowers_obesity
Coprobacter_secundus,0.0057633106242481824,0.8524160405188681,higher_abundance_raises_obesity
Bacteroides_sp_CAG_144,0.005731047128696218,0.7330167380372383,higher_abundance_raises_obesity
Oscillibacter_sp_CAG_241,0.005600941496006826,0.08484105880081778,higher_abundance_raises_obesity
Bacteroides_salyersiae,0.00558192526801978,-0.09399744771613501,higher_abundance_lowers_obesity
Streptococcus_mitis,0.005220834181201719,-0.36072280687590264,higher_abundance_lowers_obesity
Eubacterium_sp_CAG_38,0.004912557824704923,0.03700678798755243,higher_abundance_raises_obesity
Fusicatenibacter_saccharivorans,0.004580914912236217,0.14965359073066048,higher_abundance_raises_obesity
Actinomyces_sp_HMSC035G02,0.004360600265495995,-0.44694407491579713,higher_abundance_lowers_obesity
Bacteroides_eggerthii,0.004256840547696804,0.548760563793,higher_abundance_raises_obesity
Akkermansia_muciniphila,0.004240641204490113,0.5849721737920514,higher_abundance_raises_obesity
Paraprevotella_xylaniphila,0.004101185470482162,0.18461574171337453,higher_abundance_raises_obesity
Clostridium_citroniae,0.004089251489351933,-0.3128102440646793,higher_abundance_lowers_obesity
Eubacterium_siraeum,0.00403032331101175,-0.5729257169722952,higher_abundance_lowers_obesity
Bifidobacterium_animalis,0.003546647420740759,-0.07898072335794361,higher_abundance_lowers_obesity
Eubacterium_ramulus,0.0035232467178065983,0.4317928185340936,higher_abundance_raises_obesity
Veillonella_dispar,0.0030832733283564532,0.15895741490622584,higher_abundance_raises_obesity
Agathobaculum_butyriciproducens,0.0030334585053224845,-0.2687084166084546,higher_abundance_lowers_obesity
Actinomyces_odontolyticus,0.0029626837896995504,-0.3648414338496482,higher_abundance_lowers_obesity
Intestinibacter_bartlettii,0.002951008120982612,-0.3447463346246775,higher_abundance_lowers_obesity
Dialister_invisus,0.0026411166519956708,0.4480348563489455,higher_abundance_raises_obesity
Enterorhabdus_caecimuris,0.0025009435729105582,0.14654715740720153,higher_abundance_raises_obesity
Clostridium_sp_CAG_253,0.002445606398824503,0.5159673951173728,higher_abundance_raises_obesity
Roseburia_hominis,0.0024147975870741824,-0.3502595656660724,higher_abundance_lowers_obesity
Ruminococcus_lactaris,0.002383189572226464,-0.22063264544261982,higher_abundance_lowers_obesity
Bacteroides_faecis,0.002350480202787576,-0.04762000431421134,higher_abundance_lowers_obesity
Proteobacteria_bacterium_CAG_139,0.002329736044845245,0.38183287115900044,higher_abundance_raises_obesity
Oscillibacter_sp_PC13,0.002323067364654026,-0.8763157939303632,higher_abundance_lowers_obesity
Phascolarctobacterium_succinatutens,0.0021335684128810685,0.4630662929801169,higher_abundance_raises_obesity
Dialister_sp_CAG_357,0.0020541340593588455,0.6853568241340935,higher_abundance_raises_obesity
Aeriscardovia_aeriphila,0.0017539762340893488,0.24567405865501926,higher_abundance_raises_obesity
Firmicutes_bacterium_CAG_238,0.0017354170351047981,0.35268075407310767,higher_abundance_raises_obesity
Ruminococcus_callidus,0.0017032160493337441,0.5551790600449888,higher_abundance_raises_obesity
Clostridium_sp_CAG_167,0.0016977719500958779,-0.6312310694439902,higher_abundance_lowers_obesity
Bacteroides_finegoldii,0.0016839359619883376,0.5282828620347502,higher_abundance_raises_obesity
Desulfovibrionaceae_bacterium,0.0016798541357565685,-0.23226782798324394,higher_abundance_lowers_obesity
Streptococcus_oralis,0.0015782408305568688,-0.7423058769155182,higher_abundance_lowers_obesity
Megamonas_hypermegale,0.001515700225323121,0.34027052501045285,higher_abundance_raises_obesity
Firmicutes_bacterium_CAG_94,0.001405891614172305,-0.26556273336322894,higher_abundance_lowers_obesity
Veillonella_parvula,0.0013104306593737954,0.38266777092552845,higher_abundance_raises_obesity
Clostridium_symbiosum,0.0012067974939288524,-0.484718240113791,higher_abundance_lowers_obesity
Anaerotruncus_colihominis,0.0011249057501863382,-0.5134201670591156,higher_abundance_lowers_obesity
Firmicutes_bacterium_CAG_145,0.0009176469686136215,-0.056210324467959864,higher_abundance_lowers_obesity
Clostridium_innocuum,0.0008054039458694846,0.3733880746564537,higher_abundance_raises_obesity
Gemella_sanguinis,0.0006735318675662373,-0.31639865993417676,higher_abundance_lowers_obesity
Veillonella_sp_T11011_6,0.000670874636162311,-0.41477741684952724,higher_abundance_lowers_obesity
Bacteroides_clarus,0.0005257522905131841,0.24087381062510765,higher_abundance_raises_obesity
Asaccharobacter_celatus,0.00037642229533423375,0.16872077028139026,higher_abundance_raises_obesity
Bacteroides_faecis_CAG_32,0.0003647648512528865,0.32554815065376136,higher_abundance_raises_obesity
Actinomyces_oris,0.0,,higher_abundance_lowers_obesity
Bifidobacterium_bifidum,0.0,,higher_abundance_lowers_obesity
Bifidobacterium_dentium,0.0,,higher_abundance_lowers_obesity
Streptococcus_anginosus_group,0.0,,higher_abundance_lowers_obesity
Alistipes_onderdonkii,0.0,,higher_abundance_lowers_obesity
Bacteroides_nordii,0.0,,higher_abundance_lowers_obesity
Clostridium_asparagiforme,0.0,,higher_abundance_lowers_obesity
Sellimonas_intestinalis,0.0,,higher_abundance_lowers_obesity
Roseburia_sp_CAG_182,0.0,,higher_abundance_lowers_obesity
Blautia_hydrogenotrophica,0.0,,higher_abundance_lowers_obesity
Eubacterium_sp_OM08_24,0.0,,higher_abundance_lowers_obesity
Eubacterium_sp_CAG_251,0.0,,higher_abundance_lowers_obesity
Streptococcus_sanguinis,0.0,,higher_abundance_lowers_obesity
Streptococcus_sp_A12,0.0,,higher_abundance_lowers_obesity
Clostridium_lavalense,0.0,,higher_abundance_lowers_obesity
Eisenbergiella_massiliensis,0.0,,higher_abundance_lowers_obesity
Monoglobus_pectinilyticus,0.0,,higher_abundance_lowers_obesity
Faecalitalea_cylindroides,0.0,,higher_abundance_lowers_obesity
Veillonella_infantium,0.0,,higher_abundance_lowers_obesity
